# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = BS7910_us_model
# start_datetime = 2023-10-03 02:26:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_data_1.json
# init = 2 (Default)
# random
#   seed = 4203047700 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 1.01837
# Diagonal elements of inverse mass matrix:
# 0.00616475
-157.47,1,1.01837,1,1,0,157.561,37.5466,73.2081,71.2
-158.716,0.857499,1.01837,2,3,0,158.72,45.6378,131.851,71.2
-157.699,1,1.01837,1,1,0,158.489,42.8445,36.2215,71.2
-157.266,0.977944,1.01837,2,3,0,157.866,38.8672,44.9549,71.2
-157.249,0.995455,1.01837,1,3,0,157.302,40.1472,58.2701,71.2
-157.48,0.952351,1.01837,1,3,0,157.5,41.9287,53.9089,71.2
-157.453,1,1.01837,1,1,0,157.519,41.7923,82.0619,71.2
-157.519,0.947887,1.01837,2,3,0,157.974,42.113,76.592,71.2
-158.09,0.877315,1.01837,1,1,0,158.092,44.0857,93.2897,71.2
-157.734,1,1.01837,1,1,0,158.057,42.9708,101.894,71.2
-158.009,0.939776,1.01837,1,1,0,158.068,43.8523,97.1198,71.2
-158.586,0.880717,1.01837,1,1,0,158.652,45.3431,83.5562,71.2
-157.618,0.888587,1.01837,2,3,0,159.81,36.9954,63.4056,71.2
-157.238,1,1.01837,1,3,0,157.585,39.4563,-19.1091,71.2
-157.518,0.947696,1.01837,2,3,0,157.633,37.3536,62.7359,71.2
-158.228,0.596861,1.01837,2,3,0,161.173,44.4598,61.4914,71.2
-157.902,1,1.01837,1,1,0,158.239,43.5297,51.8577,71.2
-157.681,0.904842,1.01837,1,3,0,158.982,36.7996,35.7183,71.2
-157.965,0.923658,1.01837,1,1,0,158.035,36.0591,96.0241,71.2
-158.981,0.742827,1.01837,1,1,0,159.051,34.2986,117.3,71.2
-157.417,1,1.01837,1,3,0,158.572,37.7903,130.167,71.2
-157.275,0.977789,1.01837,2,3,0,157.581,38.7656,100.284,71.2
-157.275,0.656037,1.01837,1,3,0,158.803,38.7656,141.8,71.2
-160.467,0.483671,1.01837,1,3,0,160.757,32.633,108.646,71.2
-157.666,1,1.01837,2,3,0,159.946,42.7216,97.6073,71.2
-158.422,0.823024,1.01837,2,3,0,159.484,44.953,98.7483,71.2
-157.236,0.988293,1.01837,1,3,0,158.482,39.6144,15.0127,71.2
-157.324,0.738879,1.01837,2,3,0,159.28,40.9896,38.4289,71.2
-157.248,0.842955,1.01837,2,3,0,158.526,39.144,69.7299,71.2
-158.664,0.684799,1.01837,1,3,0,159.253,45.5222,82.1524,71.2
-157.372,0.992497,1.01837,1,3,0,158.446,41.3284,47.2923,71.2
-157.379,0.998358,1.01837,1,1,0,157.41,41.3723,63.3225,71.2
-157.623,0.90302,1.01837,1,3,0,158.074,36.9794,38.5399,71.2
-157.624,0.883618,1.01837,1,3,0,158.508,42.5614,67.0852,71.2
-158.05,0.907804,1.01837,1,1,0,158.071,43.9721,114.439,71.2
-157.973,1,1.01837,1,1,0,158.184,43.7478,92.3653,71.2
-157.237,0.989151,1.01837,1,3,0,158.032,39.474,146.595,71.2
-157.308,0.780883,1.01837,2,3,0,158.859,40.8557,27.0664,71.2
-157.268,1,1.01837,2,3,0,157.3,40.4339,46.9023,71.2
-159.145,0.656976,1.01837,1,3,0,159.497,46.5474,187.577,71.2
-157.553,1,1.01837,2,3,0,158.744,37.2221,6.9397,71.2
-158.531,0.91106,1.01837,2,3,0,158.534,34.9722,68.4628,71.2
-158.368,1,1.01837,1,1,0,158.766,35.2515,118.877,71.2
-158.248,1,1.01837,1,1,0,158.589,35.4703,39.342,71.2
-157.266,1,1.01837,2,3,0,158.18,40.4093,79.585,71.2
-157.243,0.899137,1.01837,2,3,0,157.935,39.2597,10.06,71.2
-157.916,0.869972,1.01837,2,3,0,158.262,36.1727,78.7485,71.2
-157.361,0.9073,1.01837,2,3,0,158.628,38.0916,103.588,71.2
-157.531,0.95572,1.01837,1,1,0,157.54,37.3026,119.348,71.2
-157.735,0.837031,1.01837,2,3,0,158.789,42.975,80.9388,71.2
-157.766,0.993006,1.01837,1,1,0,157.875,43.0828,-11.046,71.2
-157.236,1,1.01837,2,3,0,157.728,39.5585,49.6576,71.2
-157.238,0.969582,1.01837,2,3,0,157.42,39.8041,80.8789,71.2
-157.259,0.997255,1.01837,2,3,0,157.261,38.9585,99.6532,71.2
-157.547,0.941221,1.01837,1,3,0,157.559,37.2431,106.832,71.2
-158.393,0.789448,1.01837,1,1,0,158.398,35.2068,76.3078,71.2
-159.562,0.701979,1.01837,1,1,0,159.725,33.5698,106.034,71.2
-157.651,1,1.01837,2,3,0,159.13,42.6652,43.6055,71.2
-157.5,0.900451,1.01837,2,3,0,158.582,37.4245,89.2161,71.2
-157.371,1,1.01837,1,1,0,157.48,38.0346,77.1895,71.2
-157.503,0.809919,1.01837,2,3,0,158.646,42.0393,32.2576,71.2
-157.503,0.792309,1.01837,1,3,0,158.954,42.0393,44.6929,71.2
-157.383,1,1.01837,1,1,0,157.488,41.3963,74.4297,71.2
-157.673,0.890993,1.01837,1,3,0,158.155,36.8218,134.048,71.2
-158.009,0.91045,1.01837,1,1,0,158.071,35.9604,87.5626,71.2
-157.26,0.976024,1.01837,1,3,0,158.137,40.3259,100.22,71.2
-157.239,0.998469,1.01837,2,3,0,157.271,39.8774,109.789,71.2
-160.831,0.42307,1.01837,1,3,0,161.501,32.3034,119.52,71.2
-158.395,1,1.01837,1,1,0,160.16,35.204,65.2524,71.2
-157.939,1,1.01837,1,1,0,158.38,36.1189,70.1297,71.2
-157.585,1,1.01837,1,1,0,157.88,37.109,4.82653,71.2
-157.982,0.8955,1.01837,1,1,0,158.017,36.0196,31.583,71.2
-157.775,1,1.01837,1,1,0,158.031,36.5294,95.6867,71.2
-157.565,1,1.01837,1,1,0,157.768,37.1774,61.9834,71.2
-157.298,0.968854,1.01837,1,3,0,157.777,40.7672,94.8266,71.2
-157.298,0.603867,1.01837,1,3,0,159.471,40.7672,48.4401,71.2
-158.688,0.68804,1.01837,1,3,0,159.294,34.7245,128.731,71.2
-157.428,1,1.01837,1,3,0,158.349,37.7383,79.5409,71.2
-157.479,0.986366,1.01837,1,1,0,157.519,37.5096,131.578,71.2
-157.249,1,1.01837,2,3,0,157.444,40.1509,63.7785,71.2
-157.395,0.970978,1.01837,1,3,0,157.403,41.4701,68.6924,71.2
-157.258,0.807898,1.01837,2,3,0,158.984,38.9758,39.5226,71.2
-157.38,0.96444,1.01837,2,3,0,157.513,37.9822,94.6404,71.2
-158.432,0.808746,1.01837,1,3,0,158.444,35.1392,20.8256,71.2
-157.258,0.974708,1.01837,1,3,0,158.552,40.2958,52.0928,71.2
-157.79,0.863271,1.01837,1,3,0,158.031,36.4898,89.2509,71.2
-159.247,0.877289,1.01837,2,3,0,159.262,33.9496,19.8676,71.2
-157.696,1,1.01837,1,1,0,158.804,36.7537,36.0263,71.2
-157.696,0.86408,1.01837,1,1,0,158.117,36.7537,20.2922,71.2
-157.27,1,1.01837,1,3,0,157.602,38.8225,59.3981,71.2
-157.27,0.919835,1.01837,1,3,0,157.579,38.8225,11.7288,71.2
-157.273,0.99906,1.01837,1,1,0,157.281,38.7803,109.091,71.2
-157.283,0.976436,1.01837,2,3,0,157.44,40.6201,54.2747,71.2
-157.262,0.937384,1.01837,2,3,0,157.707,38.9164,75.3472,71.2
-157.262,0.743136,1.01837,2,3,0,158.995,38.9164,88.1192,71.2
-157.236,1,1.01837,1,3,0,157.261,39.6079,64.0526,71.2
-157.305,0.983111,1.01837,1,3,0,157.32,38.4773,69.4912,71.2
-157.305,0.508808,1.01837,1,3,0,159.719,38.4773,76.3104,71.2
-157.305,0.890203,1.01837,1,3,0,157.882,38.4773,57.1646,71.2
-157.305,0.508415,1.01837,1,3,0,159.722,38.4773,63.7538,71.2
-157.236,0.999362,1.01837,1,3,0,157.309,39.702,133.089,71.2
-158.239,0.781036,1.01837,1,3,0,158.456,35.4875,110.662,71.2
-157.548,0.870421,1.01837,1,3,0,159.158,42.2443,70.7902,71.2
-157.318,0.762018,1.01837,2,3,0,159.518,38.3787,73.9684,71.2
-157.267,1,1.01837,1,1,0,157.306,38.8608,32.4121,71.2
-158.152,0.774241,1.01837,1,3,0,158.629,44.2574,57.1452,71.2
-157.442,0.99327,1.01837,1,3,0,157.992,41.736,56.3865,71.2
-157.268,0.999365,1.01837,1,3,0,157.403,40.4415,82.6995,71.2
-157.264,0.991598,1.01837,2,3,0,157.342,38.8953,68.8922,71.2
-157.283,0.995186,1.01837,1,1,0,157.286,38.6823,52.4469,71.2
-157.765,0.87351,1.01837,2,3,0,158.219,36.5573,61.4029,71.2
-157.45,1,1.01837,1,1,0,157.694,37.6373,24.1394,71.2
-157.465,0.995834,1.01837,1,1,0,157.518,37.5687,-18.8424,71.2
-158.247,0.926236,1.01837,2,3,0,158.247,35.4736,85.8323,71.2
-158.806,0.847714,1.01837,1,1,0,158.993,34.548,12.8053,71.2
-158.363,1,1.01837,2,3,0,158.911,35.2598,134.572,71.2
-158.531,0.628658,1.01837,1,3,0,161.276,45.2132,5.77864,71.2
-158.268,1,1.01837,1,1,0,158.645,44.5642,71.4246,71.2
-157.975,1,1.01837,1,1,0,158.307,43.7515,41.1176,71.2
-159.924,0.74725,1.01837,1,3,0,159.927,48.0165,139.94,71.2
-158.657,1,1.01837,1,1,0,159.742,45.5062,111.291,71.2
-158.657,0.847489,1.01837,1,1,0,159.424,45.5062,17.6038,71.2
-157.371,0.992557,1.01837,1,3,0,158.44,41.3227,108.361,71.2
-157.608,0.945703,1.01837,1,1,0,157.61,42.496,59.8325,71.2
-157.629,0.995196,1.01837,1,1,0,157.712,42.5794,88.489,71.2
-157.667,0.991172,1.01837,1,1,0,157.751,42.7283,144.532,71.2
-157.802,0.969804,1.01837,1,1,0,157.872,43.2059,-38.8662,71.2
-157.566,0.938346,1.01837,2,3,0,158.47,42.3222,81.0182,71.2
-157.435,1,1.01837,2,3,0,157.558,41.6995,81.245,71.2
-157.714,0.914329,1.01837,2,3,0,158.226,42.9014,85.6259,71.2
-157.344,0.951388,1.01837,1,3,0,158.084,38.1966,36.7541,71.2
-157.576,0.98005,1.01837,2,3,0,157.579,37.1394,107.853,71.2
-157.247,1,1.01837,1,3,0,157.52,39.1683,4.71311,71.2
-157.248,0.996126,1.01837,2,3,0,157.278,40.1233,13.5647,71.2
-157.252,0.999711,1.01837,2,3,0,157.254,40.1918,26.785,71.2
-157.25,1,1.01837,2,3,0,157.254,40.1649,96.2396,71.2
-158.872,0.687062,1.01837,1,3,0,159.221,45.9807,57.7845,71.2
-157.464,0.987527,1.01837,1,3,0,158.601,41.8507,47.0175,71.2
-157.31,1,1.01837,1,1,0,157.428,40.8724,65.3459,71.2
-157.237,1,1.01837,2,3,0,157.304,39.5363,26.3163,71.2
-157.237,0.607547,1.01837,1,3,0,159.383,39.5363,9.25706,71.2
-157.237,0.726387,1.01837,1,3,0,158.584,39.5363,60.4748,71.2
-158.307,0.849813,1.01837,2,3,0,158.48,44.6647,138.873,71.2
-158.13,1,1.01837,1,1,0,158.429,44.1974,92.5819,71.2
-157.458,0.993359,1.01837,1,3,0,157.976,41.8186,89.0215,71.2
-157.314,0.971118,1.01837,1,3,0,157.688,38.4053,29.872,71.2
-157.687,0.879457,1.01837,2,3,0,158.191,36.7796,106.376,71.2
-158.232,0.734743,1.01837,2,3,0,159.675,44.4714,60.9497,71.2
-160.306,0.642316,1.01837,1,1,0,160.306,48.6776,105.537,71.2
-158.335,1,1.01837,1,1,0,159.892,44.7375,78.9869,71.2
-157.685,1,1.01837,1,1,0,158.201,42.7943,77.3247,71.2
-157.237,0.994223,1.01837,1,3,0,157.717,39.5093,88.6213,71.2
-157.361,0.981155,1.01837,2,3,0,157.381,41.2558,97.9757,71.2
-158.248,0.849016,1.01837,1,3,0,158.284,44.5132,76.1763,71.2
-157.608,1,1.01837,1,1,0,158.108,42.4958,126.271,71.2
-157.68,0.983659,1.01837,1,1,0,157.75,42.7739,125.234,71.2
-157.287,1,1.01837,2,3,0,157.589,38.6415,86.6534,71.2
-157.295,0.98185,1.01837,2,3,0,157.427,38.5696,87.993,71.2
-157.445,0.941714,1.01837,2,3,0,157.712,37.6583,42.7197,71.2
-157.947,0.87179,1.01837,1,1,0,157.951,36.1005,129.142,71.2
-157.466,0.86744,1.01837,2,3,0,159.04,37.563,113.872,71.2
-157.528,0.915716,1.01837,1,3,0,158.099,42.1527,96.3678,71.2
-157.485,1,1.01837,1,1,0,157.567,41.9528,77.0805,71.2
-157.401,0.953979,1.01837,1,3,0,157.889,37.8697,103.284,71.2
-157.314,1,1.01837,1,1,0,157.385,38.4056,117.535,71.2
-157.475,0.930825,1.01837,1,3,0,157.758,41.9055,109.747,71.2
-157.877,0.911344,1.01837,1,1,0,157.881,43.4509,156.387,71.2
-157.401,0.702921,1.01837,2,3,0,160.672,37.8706,119.09,71.2
-157.725,0.916102,1.01837,1,1,0,157.731,36.6684,97.8491,71.2
-157.294,0.964998,1.01837,1,3,0,157.948,40.7251,103.519,71.2
-158.264,0.818292,1.01837,1,3,0,158.36,44.5557,107.018,71.2
-157.268,0.985309,1.01837,2,3,0,158.364,40.4438,110.857,71.2
-157.268,0.56573,1.01837,1,3,0,159.658,40.4438,115.043,71.2
-157.262,0.980751,1.01837,2,3,0,157.408,38.9147,78.1039,71.2
-158.355,0.735092,1.01837,1,3,0,158.899,44.7875,73.8842,71.2
-158.143,1,1.01837,1,1,0,158.465,44.2337,109.113,71.2
-157.255,1,1.01837,1,3,0,158.07,40.2492,44.4467,71.2
-157.239,0.827084,1.01837,2,3,0,158.539,39.882,40.6678,71.2
-157.964,0.841058,1.01837,1,3,0,158.125,43.72,56.7937,71.2
-157.631,1,1.01837,1,1,0,157.92,42.5871,67.0211,71.2
-157.79,0.964206,1.01837,1,1,0,157.848,43.1667,61.2212,71.2
