# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = BS7910_us_model
# start_datetime = 2023-10-03 02:26:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_data_1.json
# init = 2 (Default)
# random
#   seed = 4203047700 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 0.91106
# Diagonal elements of inverse mass matrix:
# 0.00670804
-157.314,0.999343,0.91106,2,7,0,157.548,38.4076,104.439,71.2
-157.449,0.969596,0.91106,1,1,0,157.45,37.6409,38.8342,71.2
-157.246,0.995985,0.91106,2,3,0,157.48,39.1876,-13.2746,71.2
-157.456,0.850143,0.91106,2,3,0,158.333,41.8107,5.84289,71.2
-157.537,0.932505,0.91106,1,3,0,158.215,37.2804,76.6665,71.2
-157.459,0.952126,0.91106,2,3,0,158.008,37.5963,112.322,71.2
-157.704,0.943631,0.91106,1,1,0,157.716,36.7305,57.9567,71.2
-157.853,0.964487,0.91106,1,1,0,157.929,36.3271,57.7449,71.2
-157.265,0.957714,0.91106,1,3,0,158.127,40.4023,25.3156,71.2
-157.313,0.822011,0.91106,2,3,0,158.816,38.418,58.3892,71.2
-157.483,0.96163,0.91106,1,1,0,157.483,37.4919,113.568,71.2
-157.554,0.897452,0.91106,1,3,0,158.328,42.2692,55.4111,71.2
-157.4,1,0.91106,1,1,0,157.529,41.5024,101.069,71.2
-157.279,0.969696,0.91106,2,3,0,157.685,38.7231,62.2851,71.2
-157.718,0.922732,0.91106,1,3,0,157.749,36.6884,43.0563,71.2
-158.189,0.89085,0.91106,1,1,0,158.225,35.5853,43.1873,71.2
-157.248,0.991532,0.91106,2,3,0,158.263,39.1533,37.9835,71.2
-158.072,0.840661,0.91106,1,3,0,158.228,35.8237,31.4053,71.2
-157.862,1,0.91106,2,3,0,158.123,36.3037,74.0995,71.2
-157.518,0.869305,0.91106,1,3,0,158.871,42.1082,157.288,71.2
-157.518,0.453642,0.91106,2,3,0,164.388,42.1082,49.972,71.2
-157.37,1,0.91106,2,3,0,157.491,41.3182,26.6692,71.2
-157.37,0.670195,0.91106,1,3,0,159.715,41.3182,66.5977,71.2
-157.277,0.979005,0.91106,2,3,0,157.578,38.7434,71.774,71.2
-157.323,0.989644,0.91106,1,1,0,157.324,38.3435,62.8441,71.2
-157.294,1,0.91106,1,1,0,157.323,38.5784,126.691,71.2
-157.311,0.998676,0.91106,2,3,0,157.32,38.4314,54.5644,71.2
-157.236,1,0.91106,2,3,0,157.302,39.7108,28.9703,71.2
-157.264,0.996619,0.91106,2,3,0,157.265,38.8971,72.9159,71.2
-157.262,0.990947,0.91106,1,3,0,157.338,40.3606,114.229,71.2
-157.254,0.912323,0.91106,2,3,0,157.923,40.2308,56.5432,71.2
-157.238,0.988424,0.91106,2,3,0,157.34,39.4448,51.8903,71.2
-157.59,0.925402,0.91106,1,3,0,157.678,37.0917,78.4292,71.2
-157.391,1,0.91106,1,1,0,157.549,37.9221,77.6111,71.2
-157.24,0.991624,0.91106,1,3,0,157.447,39.9063,55.4412,71.2
-157.248,0.993382,0.91106,2,3,0,157.289,39.1459,22.8702,71.2
-158.764,0.724261,0.91106,1,3,0,159.07,34.6099,94.0642,71.2
-158.828,0.983174,0.91106,1,1,0,159.19,34.515,38.3688,71.2
-159.939,0.740779,0.91106,1,1,0,160.144,33.1562,51.9627,71.2
-157.325,0.89777,0.91106,2,3,0,160.835,40.9936,41.9943,71.2
-157.425,0.972699,0.91106,2,3,0,157.592,41.6413,39.8992,71.2
