# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = normal_model
# start_datetime = 2023-10-02 10:28:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/normal_data_1.json
# init = 2 (Default)
# random
#   seed = 4145551467 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/normal_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_k,sigma_k,Kmat_pred
# Adaptation terminated
# Step size = 0.567288
# Diagonal elements of inverse mass matrix:
# 0.000655727, 1.14103
-41.2655,1,0.567288,1,3,0,45.1986,154.011,8.11037,157.752
-40.3575,1,0.567288,2,3,0,41.2154,150.743,8.19198,156.789
-42.1733,0.908416,0.567288,2,3,0,42.3437,155.883,12.7392,144.932
-42.5184,0.563839,0.567288,2,3,0,43.7036,156.472,7.2807,168.36
-40.7881,0.717123,0.567288,2,3,0,43.6894,150.342,2.7127,151.494
-40.3314,0.991798,0.567288,3,7,0,41.0112,147.984,3.09991,144.722
-40.4145,0.992886,0.567288,2,3,0,40.5535,148.993,3.09067,146.474
-39.9953,0.953191,0.567288,3,7,0,40.8407,148.228,6.91663,140.291
-40.075,0.982953,0.567288,1,3,0,40.1731,149.255,5.53776,149.986
-41.1215,0.848002,0.567288,3,7,0,42.534,151.28,2.57074,153.191
-40.3452,0.928623,0.567288,3,7,0,41.8091,144.468,6.81714,153.451
-40.4748,0.942266,0.567288,2,3,0,40.8082,144.19,8.13707,146.947
-40.7713,0.861683,0.567288,2,3,0,41.0256,144.139,3.50423,144.531
-40.4125,0.997301,0.567288,2,7,0,41.0991,148.475,10.1801,155.605
-40.0213,0.972241,0.567288,2,3,0,40.6906,147.564,4.88546,147.563
-40.7738,0.891857,0.567288,2,7,0,42.1914,143.278,5.07296,129.298
-40.3934,0.981389,0.567288,2,7,0,41.498,145.918,3.35123,150.954
-40.7573,0.966736,0.567288,3,7,0,41.0299,143.617,4.39717,141.899
-40.3418,0.983225,0.567288,2,5,0,41.1292,148.466,9.79844,160.286
-40.4065,0.956232,0.567288,1,3,0,41.1174,151.032,5.61191,143.834
-41.2553,0.678924,0.567288,1,3,0,43.427,149.791,1.46054,148.65
-41.6796,0.872756,0.567288,2,7,0,42.5553,153.078,3.13646,150.942
-40.6909,1,0.567288,2,7,0,42.1751,146.351,11.2831,152.004
-41.6516,0.711492,0.567288,3,7,0,43.699,141.678,4.07273,145.743
-41.0777,0.951985,0.567288,2,7,0,42.276,152.565,4.47455,156.444
-41.0845,0.958968,0.567288,2,3,0,41.8894,153.202,6.06096,158.77
-41.3573,0.961486,0.567288,1,1,0,41.4139,153.809,5.9679,146.498
-40.6489,1,0.567288,2,3,0,41.4925,151.713,5.1715,150.684
-41.1632,0.969576,0.567288,2,3,0,41.5306,153.696,7.54671,153.904
-41.7941,0.863784,0.567288,2,5,0,42.6525,143.261,1.69349,144.339
-41.5473,0.976448,0.567288,3,7,0,41.8231,143.613,1.87932,139.649
-41.394,1,0.567288,1,1,0,41.5985,143.834,2.01839,142.435
-41.6909,0.710058,0.567288,2,3,0,42.8923,140.488,8.83393,143.508
-40.4203,0.985253,0.567288,2,3,0,41.6745,144.258,7.5744,134.509
-41.7179,0.574484,0.567288,3,7,0,42.7165,144.026,1.35809,146.247
-41.9347,0.972301,0.567288,2,7,0,42.4433,146.362,0.623181,146.412
-42.1027,0.926943,0.567288,2,7,0,42.745,151.334,0.983226,152.908
-40.3874,0.942989,0.567288,3,7,0,42.4883,150.825,5.24385,150.931
-41.1173,0.855707,0.567288,3,7,0,42.5603,150.754,2.16984,151.758
-42.9746,0.889389,0.567288,2,7,0,45.5552,139.514,15.9508,114.926
-41.785,0.608685,0.567288,3,7,0,45.2401,155.306,10.4843,172.98
-40.0489,0.322055,0.567288,2,3,0,44.2835,147.987,4.64918,145.737
-41.59,0.890823,0.567288,2,5,0,41.8639,149.166,0.925105,148.289
-41.2985,0.994641,0.567288,2,3,0,41.749,149.355,1.28226,150.311
-40.0298,0.690814,0.567288,2,3,0,43.7136,148.844,6.92681,148.805
-41.2015,0.936221,0.567288,2,3,0,41.2533,153.345,5.63253,153.745
-40.8177,1,0.567288,2,3,0,41.1646,152.463,5.92494,157.737
-40.3472,0.9947,0.567288,2,7,0,41.2818,148.195,3.07542,147.568
-40.9715,0.91617,0.567288,3,7,0,43.2706,151.82,3.67015,149.225
-41.7702,0.798089,0.567288,2,3,0,44.2655,151.214,1.3113,150.336
-42.1275,0.903183,0.567288,2,7,0,42.6401,149.33,0.55402,149.105
-40.4193,0.789178,0.567288,3,7,0,44.1943,144.427,8.0704,144.309
-42.2154,0.461376,0.567288,1,1,0,42.2596,143.7,16.1036,151.943
-41.7885,0.663104,0.567288,2,3,0,42.8503,144.538,14.9264,120.727
-41.1971,1,0.567288,2,3,0,42.2913,141.746,7.03058,140.887
-40.9771,0.737031,0.567288,1,3,0,43.4679,144.592,2.40751,144.91
-41.1653,0.988024,0.567288,3,7,0,41.3077,151.356,2.52638,147.146
-44.4872,0.869049,0.567288,2,3,0,44.9391,158.023,22.3738,150.119
-42.6258,1,0.567288,1,1,0,43.8384,156.895,13.9243,182.422
-41.7038,0.839237,0.567288,2,3,0,43.5275,153.353,13.6079,150.912
-41.4649,1,0.567288,2,3,0,41.9019,154.036,5.95101,158.892
-40.8624,0.964117,0.567288,2,3,0,41.9224,152.781,6.82256,144.676
-42.0815,0.938933,0.567288,3,7,0,42.0942,140.849,4.1646,128.083
-40.1011,0.890445,0.567288,2,3,0,42.6843,146.075,5.13865,146.008
-40.2106,0.976215,0.567288,2,7,0,40.5022,147.473,3.58902,149.436
-39.9787,1,0.567288,1,3,0,40.2896,147.55,5.56035,148.945
-40.2224,0.980701,0.567288,2,5,0,40.2837,150.14,5.40228,151.646
-40.4625,0.968184,0.567288,2,3,0,40.6509,149.447,3.15876,146.947
-40.8239,0.943932,0.567288,2,3,0,40.9494,149.87,11.7721,135.635
-40.8239,0.0458246,0.567288,1,1,0,43.9706,149.87,11.7721,153.278
-40.8239,0.561287,0.567288,2,7,0,41.7019,149.87,11.7721,161.468
-40.8239,0.198277,0.567288,1,1,0,42.5829,149.87,11.7721,142.316
-40.4749,1,0.567288,3,7,0,40.6773,146.59,2.75274,141.361
-40.9284,0.700229,0.567288,3,7,0,43.4687,151.735,3.71716,154.024
-40.2511,0.997868,0.567288,2,7,0,41.2008,150.177,8.02291,157.544
-40.3717,0.856097,0.567288,2,7,0,42.5373,145.429,9.09539,153.465
-41.1851,0.738073,0.567288,3,7,0,41.3285,149.39,1.44799,149.966
-40.1397,1,0.567288,2,3,0,41.1535,146.395,4.39894,138.154
-40.2512,0.979065,0.567288,2,5,0,40.5368,148.059,3.43593,145.896
-40.0012,0.996733,0.567288,2,7,0,40.38,147.226,5.25049,146.31
-40.2206,0.942619,0.567288,2,7,0,40.7565,149.398,8.62661,144.474
-39.9871,0.998155,0.567288,2,3,0,40.3377,148.3,5.72887,141.796
-40.0857,0.980114,0.567288,1,3,0,40.1878,147.531,4.315,145.071
-41.2087,0.919108,0.567288,3,7,0,41.763,152.123,12.2621,156.178
-40.3192,0.561512,0.567288,2,7,0,44.8616,147.076,3.17432,148.941
-40.0113,0.96436,0.567288,3,7,0,41.6774,147.257,7.21953,151.262
-40.0121,1,0.567288,3,7,0,40.0225,147.184,5.10783,152.569
-40.2884,0.983859,0.567288,2,3,0,40.34,147.063,9.45643,130.569
-40.6155,0.963115,0.567288,1,3,0,41.6438,143.62,8.22958,143.481
-41.2919,0.67951,0.567288,2,7,0,42.4629,146.625,1.15799,147.784
-40.0272,0.999614,0.567288,3,7,0,41.1097,148.227,7.44106,158.199
-40.1635,0.853101,0.567288,2,3,0,40.6472,150.008,6.88342,149.938
-40.2722,0.983252,0.567288,2,3,0,40.3553,150.366,5.34875,147.753
-40.1049,0.974031,0.567288,3,7,0,40.8073,149.22,7.64349,162.41
-40.1049,0.603982,0.567288,1,1,0,40.7451,149.22,7.64349,150.748
-40.2103,0.945964,0.567288,2,7,0,40.6486,145.108,6.47447,145.374
-41.7351,0.823712,0.567288,1,3,0,43.3994,140.438,7.67021,138.137
-42.2446,0.830836,0.567288,2,5,0,43.4531,154.309,3.45598,153.696
-42.8665,0.875917,0.567288,3,7,0,43.3199,142.665,0.765522,141.544
-41.0705,1,0.567288,3,7,0,42.9324,148.843,1.49741,147.214
-40.0187,0.9633,0.567288,3,7,0,41.0466,146.519,6.33152,139.573
-40.2782,0.981525,0.567288,2,7,0,40.4344,150.174,4.88534,150.958
-40.8539,0.947286,0.567288,2,7,0,41.1205,148.75,1.85256,147.827
-40.6058,0.915079,0.567288,2,7,0,41.7061,143.696,8.33993,135.448
-40.1516,1,0.567288,2,7,0,40.5873,145.64,5.30555,139.545
-41.0672,0.958798,0.567288,2,3,0,41.2805,142.893,10.4996,126.637
-41.466,0.999362,0.567288,2,3,0,41.6512,141.141,9.45831,130.452
-41.466,0.247665,0.567288,1,1,0,42.562,141.141,9.45831,152.541
-40.8061,0.984254,0.567288,2,5,0,41.8832,151.486,3.86346,153.209
-40.7186,0.975714,0.567288,2,3,0,41.3236,151.928,5.17939,159.207
-41.1778,0.961446,0.567288,2,3,0,41.5995,153.775,8.10647,159.158
-43.3697,0.502082,0.567288,2,3,0,44.4123,158.542,9.18551,148.939
-40.2127,0.963559,0.567288,2,7,0,43.3118,145.097,6.22111,146.05
-41.0156,0.824413,0.567288,2,5,0,41.454,147.019,1.48977,147.474
-44.7237,0.837029,0.567288,2,3,0,45.0663,154.17,0.311166,154.237
-44.7608,0.997726,0.567288,2,3,0,45.0694,154.249,0.315872,154.913
-44.243,0.843206,0.567288,2,7,0,47.17,150.98,0.102036,150.969
-44.6136,0.884285,0.567288,2,7,0,44.9789,150.364,0.0582255,150.354
-42.2928,0.869181,0.567288,2,7,0,45.0683,147.6,0.403298,147.744
-42.3083,0.999986,0.567288,1,1,0,42.3467,147.63,0.39712,146.959
-42.0926,0.995515,0.567288,2,3,0,42.4412,148.697,0.524144,148.722
