# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Kmat_model
# start_datetime = 2023-10-03 03:36:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Kmat_data_1.json
# init = 2 (Default)
# random
#   seed = 4207215578 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Kmat_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_k,sigma_k,Kmat_pred
# Adaptation terminated
# Step size = 0.641633
# Diagonal elements of inverse mass matrix:
# 0.0036854, 0.279804
-18.6663,0.9588,0.641633,3,7,0,18.9417,150.885,8.98775,150.466
-20.3365,0.297111,0.641633,2,3,0,21.864,130.826,31.4978,155.028
-20.0047,0.939297,0.641633,2,3,0,21.3493,138.208,32.8626,141.863
-20.4753,0.978873,0.641633,2,3,0,20.7243,141.203,38.1465,165.863
-18.4648,0.99321,0.641633,2,7,0,20.7106,140.692,6.07632,148.778
-18.0761,0.29244,0.641633,2,3,0,21.1198,150.42,12.0009,138.035
-17.7587,0.736513,0.641633,2,3,0,19.1952,147.092,13.9726,156.603
-18.1661,0.911819,0.641633,2,3,0,18.605,142.105,18.3653,165.466
-18.4225,0.833225,0.641633,2,3,0,20.0112,150.234,9.24563,139.923
-17.5396,0.991798,0.641633,2,7,0,18.3253,143.602,11.0642,142.887
-17.7848,0.950563,0.641633,3,7,0,18.0726,147.037,14.4387,141.295
-18.8479,0.874737,0.641633,2,3,0,19.5069,153.068,23.6998,145.692
-17.8588,0.999547,0.641633,3,7,0,18.914,148.898,12.8335,156.472
-19.0925,0.298019,0.641633,2,3,0,21.2863,140.196,25.6818,147.76
-18.9416,1,0.641633,3,7,0,19.2316,142.558,25.1623,155.751
-18.2242,1,0.641633,2,3,0,19.0606,140.645,18.2993,109.28
-18.0552,1,0.641633,2,3,0,18.2197,141.335,17.0513,158.187
-18.0742,0.996427,0.641633,2,3,0,18.3577,137.449,12.7317,144.696
-17.8348,0.930982,0.641633,3,7,0,19.0811,147.699,9.87256,144.71
-18.5464,0.870502,0.641633,2,7,0,18.6577,135.13,11.2528,125.346
-18.4219,0.902705,0.641633,2,5,0,19.3245,149.268,20.7312,123.706
-17.9441,0.99839,0.641633,3,7,0,18.4685,141.639,7.30111,132.98
-17.6499,1,0.641633,3,7,0,17.9602,145.235,9.17654,155.781
-17.6788,0.991337,0.641633,2,3,0,17.7482,141.539,12.9026,144.243
-17.742,0.993652,0.641633,1,1,0,17.7493,141.374,13.6977,152.07
-18.3422,0.973015,0.641633,3,7,0,18.3854,145.044,6.18993,142.878
-19.7415,0.36216,0.641633,2,3,0,20.5284,151.658,7.2364,150.155
-17.7323,1,0.641633,1,1,0,18.9275,146.829,9.82484,124.036
-19.4763,0.485191,0.641633,2,7,0,21.3208,159.511,27.1744,151.226
-19.6778,0.937722,0.641633,3,7,0,20.407,151.082,32.4399,176.392
-19.6957,0.905921,0.641633,2,7,0,20.3156,145.509,32.2766,86.6015
-18.347,0.997767,0.641633,2,3,0,20.0871,142.256,20.0039,140.795
-17.8122,0.997334,0.641633,3,7,0,18.3582,147.928,14.0383,134.98
-19.6461,0.917706,0.641633,2,3,0,19.8419,158.741,30.111,143.336
-18.2283,0.981311,0.641633,2,3,0,21.1278,145.8,19.4591,152.405
-17.6525,0.96604,0.641633,1,3,0,18.7712,146.648,11.7924,148.739
-18.1891,0.910386,0.641633,2,7,0,18.7431,147.065,7.50146,134.223
-18.1891,0.0783419,0.641633,2,3,0,23.0128,147.065,7.50146,139.164
-18.1891,0.735778,0.641633,2,3,0,18.9587,147.065,7.50146,161.254
-19.4617,0.865234,0.641633,2,3,0,20.2529,143.851,4.13395,143.881
-19.4617,0.740494,0.641633,1,1,0,19.9648,143.851,4.13395,145.671
-20.4139,0.273637,0.641633,2,3,0,21.5875,149.533,5.10411,143.075
-20.4139,0.283,0.641633,2,5,0,24.7382,149.533,5.10411,147.277
-20.4139,0.0606992,0.641633,1,1,0,23.2513,149.533,5.10411,147.065
-19.194,1,0.641633,2,3,0,19.8046,140.381,4.86165,141.377
-18.591,0.708432,0.641633,2,7,0,20.6326,141.819,21.968,116.623
-18.4171,0.989055,0.641633,2,3,0,18.979,145.571,21.1451,113.233
-18.9219,0.877003,0.641633,2,3,0,20.1467,157.06,17.355,176.419
-20.7622,0.118609,0.641633,2,3,0,24.336,145.025,41.6998,68.4367
-18.7462,0.348688,0.641633,2,3,0,22.6514,155.58,19.4023,156.025
-18.2862,0.919198,0.641633,2,3,0,19.2112,142.178,19.4509,131.795
-18.2632,0.973357,0.641633,2,3,0,18.5987,152.153,13.9359,158.441
-19.6447,0.764055,0.641633,2,3,0,20.277,143.947,31.5403,124.176
-20.0298,0.959911,0.641633,2,7,0,20.9617,131.565,9.62951,120.236
-21.1502,0.943585,0.641633,3,7,0,21.8019,135.337,41.9988,62.7924
-19.8338,1,0.641633,2,3,0,21.4033,131.857,27.2128,137.608
-18.2939,0.984368,0.641633,1,3,0,20.6814,137.118,16.0952,128.074
-19.184,0.873979,0.641633,1,3,0,21.6242,136.878,6.7171,138.353
-17.8657,1,0.641633,2,3,0,19.4963,143.521,15.9135,150.728
-18.1869,0.985458,0.641633,2,3,0,18.2157,144.314,19.023,125.766
-18.2649,0.970898,0.641633,2,7,0,18.5249,151.816,16.759,184.171
