# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = AnnexJ_model
# start_datetime = 2023-10-02 19:46:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/AnnexJ_data_1.json
# init = 2 (Default)
# random
#   seed = 4179057733 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/AnnexJ_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 0.987023
# Diagonal elements of inverse mass matrix:
# 0.00626996
-157.442,0.890975,0.987023,1,3,0,158.884,41.7376,77.0412,73.1113
-157.661,0.952395,0.987023,1,1,0,157.672,42.7048,30.4437,73.1113
-157.249,0.98377,0.987023,1,3,0,157.792,39.118,84.8402,73.1113
-157.98,0.850377,0.987023,1,3,0,158.073,36.0248,18.1862,73.1113
-157.472,1,0.987023,1,1,0,157.851,37.5406,83.1036,73.1113
-157.374,1,0.987023,1,1,0,157.463,38.0179,5.46163,73.1113
-159.059,0.799679,0.987023,2,3,0,159.082,46.372,90.3529,73.1113
-158.147,1,0.987023,1,1,0,158.909,44.2424,85.2979,73.1113
-157.242,0.980173,0.987023,1,3,0,158.315,39.294,76.6867,73.1113
-157.383,0.959566,0.987023,1,3,0,157.466,41.4002,79.5697,73.1113
-157.261,1,0.987023,2,3,0,157.354,38.927,29.9768,73.1113
-157.76,0.860937,0.987023,1,3,0,158.086,43.063,30.4707,73.1113
-157.499,1,0.987023,2,3,0,157.717,42.0185,64.0537,73.1113
-157.505,0.998472,0.987023,1,1,0,157.563,42.0507,-6.07386,73.1113
-157.431,1,0.987023,1,1,0,157.517,41.6769,82.0848,73.1113
-157.62,0.958567,0.987023,1,1,0,157.632,42.5461,67.235,73.1113
-157.62,0.76509,0.987023,1,3,0,159.056,42.5461,-2.88275,73.1113
-157.295,1,0.987023,2,3,0,157.543,38.5662,17.0028,73.1113
-157.36,0.93172,0.987023,2,3,0,157.756,41.2471,96.7928,73.1113
-158.495,0.892271,0.987023,2,3,0,158.547,35.0323,119.012,73.1113
-157.325,0.903797,0.987023,2,3,0,159.226,38.3288,113.239,73.1113
-157.373,0.964936,0.987023,2,3,0,157.613,38.0244,124.191,73.1113
-157.472,0.928125,0.987023,2,3,0,157.9,41.8903,91.3185,73.1113
-157.564,0.920143,0.987023,1,3,0,158.189,37.1824,58.3089,73.1113
-158.033,0.883052,0.987023,1,1,0,158.053,35.9073,72.4114,73.1113
-158.869,0.930471,0.987023,2,3,0,158.955,34.4562,138.709,73.1113
-157.412,1,0.987023,1,3,0,158.517,37.8141,59.0039,73.1113
-157.549,0.906947,0.987023,2,3,0,158.096,42.25,54.3341,73.1113
-158.138,0.959818,0.987023,2,3,0,158.139,44.2192,131.386,73.1113
-158.041,1,0.987023,1,1,0,158.269,43.9467,-22.1397,73.1113
-159.198,0.786049,0.987023,1,1,0,159.209,46.6549,114.649,73.1113
-157.563,0.841657,0.987023,1,3,0,160.678,37.1857,72.1597,73.1113
-157.604,0.989352,0.987023,1,1,0,157.677,37.0438,86.8795,73.1113
-157.794,0.951006,0.987023,1,1,0,157.852,36.4789,23.3451,73.1113
-157.491,1,0.987023,1,1,0,157.734,37.4598,122.241,73.1113
-157.259,1,0.987023,1,3,0,157.444,38.9643,79.5418,73.1113
-157.339,0.735444,0.987023,2,3,0,159.382,41.1036,36.42,73.1113
-157.248,0.992505,0.987023,1,3,0,157.398,39.1485,18.6763,73.1113
-157.855,0.844034,0.987023,1,3,0,158.165,43.3808,110.26,73.1113
-157.256,0.996179,0.987023,1,3,0,157.806,40.2721,114.131,73.1113
-157.236,0.999522,0.987023,1,3,0,157.259,39.5734,155.176,73.1113
-157.253,0.997669,0.987023,2,3,0,157.255,40.2138,64.3396,73.1113
-157.375,0.961693,0.987023,1,3,0,157.479,38.0135,85.5682,73.1113
-157.308,1,0.987023,1,1,0,157.365,38.455,62.0581,73.1113
-157.262,1,0.987023,1,1,0,157.297,38.9158,89.8262,73.1113
-157.288,0.99366,0.987023,1,1,0,157.29,38.6281,60.1349,73.1113
-157.277,1,0.987023,2,3,0,157.293,38.7348,2.14804,73.1113
-157.572,0.965912,0.987023,2,3,0,157.574,42.3471,37.1163,73.1113
-157.302,0.982556,0.987023,2,3,0,157.728,40.8019,62.8,73.1113
-157.259,0.991167,0.987023,1,3,0,157.378,38.9558,117.382,73.1113
-157.277,0.977929,0.987023,2,3,0,157.411,40.5503,64.4168,73.1113
-157.236,0.999757,0.987023,1,3,0,157.278,39.6641,25.5304,73.1113
-157.237,0.992484,0.987023,2,3,0,157.284,39.5443,-16.513,73.1113
-157.238,0.999398,0.987023,1,3,0,157.24,39.8323,45.2702,73.1113
-157.757,0.877838,0.987023,1,3,0,157.921,36.5802,16.4081,73.1113
-158.057,0.974141,0.987023,2,3,0,158.136,35.8559,42.4048,73.1113
