# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = normal_model
# start_datetime = 2023-10-02 10:28:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/normal_data_1.json
# init = 2 (Default)
# random
#   seed = 4145551467 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/normal_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_k,sigma_k,Kmat_pred
# Adaptation terminated
# Step size = 0.495758
# Diagonal elements of inverse mass matrix:
# 0.000665885, 1.20904
-40.084,0.987848,0.495758,2,3,0,40.3224,146.238,5.10767,144.961
-40.1473,0.954814,0.495758,3,7,0,41.603,148.554,4.13494,146.585
-40.4489,0.982254,0.495758,3,7,0,40.4904,149.787,3.45344,142.566
-41.0787,0.965091,0.495758,2,7,0,41.2786,145.735,1.63576,148.077
-41.0491,0.999025,0.495758,1,1,0,41.1185,145.655,1.71258,146.71
-42.0068,0.87699,0.495758,2,3,0,43.1522,141.509,3.18208,144.002
-40.0043,1,0.495758,2,3,0,42.0208,146.69,6.2244,156.233
-40.1754,0.960932,0.495758,2,5,0,40.3665,148.771,8.63742,145.208
-40.6424,0.745909,0.495758,3,7,0,41.8551,146.962,2.21334,149.2
-40.652,0.950671,0.495758,2,7,0,41.5546,149.611,2.63697,148.07
-42.9479,0.851908,0.495758,3,7,0,43.9484,157.688,8.7821,157.581
-42.5568,0.922663,0.495758,2,3,0,43.7486,157.063,12.7331,146.197
-40.5698,0.729375,0.495758,2,7,0,44.54,149.116,2.63906,150.001
-40.1663,0.999143,0.495758,2,3,0,40.6944,148.62,4.05094,154.449
-40.1907,0.990749,0.495758,3,7,0,40.3704,147.116,8.84733,153.983
-40.5701,0.993822,0.495758,2,3,0,40.7677,143.82,5.32066,135.981
-41.2564,0.946303,0.495758,3,7,0,41.7813,148.862,13.7305,147.962
-41.2564,0.125335,0.495758,1,1,0,44.6338,148.862,13.7305,149.928
-43.3907,0.83952,0.495758,2,5,0,45.2958,140.312,1.81731,144.454
-41.3125,0.995383,0.495758,2,7,0,44.0313,142.382,4.06776,142.57
-41.3713,0.95657,0.495758,3,7,0,42.5628,147.301,14.1448,147.005
-40.3088,1,0.495758,2,3,0,41.359,149.622,3.97386,157.188
-40.5748,0.976267,0.495758,3,7,0,41.2623,151.404,5.003,158.435
-40.38,1,0.495758,2,3,0,40.6533,151.021,7.7245,148.528
-40.02,0.986551,0.495758,1,3,0,40.8167,148.813,6.71992,146.544
-41.0405,0.738634,0.495758,2,7,0,42.7443,142.564,9.69971,136.496
-41.7392,0.958725,0.495758,2,5,0,42.5868,153.66,3.88435,156.436
-40.4519,0.979458,0.495758,2,7,0,42.1168,144.569,8.66736,151.973
-41.3209,0.571682,0.495758,2,3,0,42.2555,145.392,1.36906,147.162
-43.8319,0.843267,0.495758,2,3,0,44.0519,140.072,1.42156,137.709
-41.9849,0.993212,0.495758,3,7,0,44.24,144.881,0.794271,143.719
-40.1857,0.967763,0.495758,3,7,0,42.8521,149.316,8.39485,157.585
-40.7677,0.95492,0.495758,3,7,0,40.977,151.687,4.37094,156.371
-40.7465,0.998907,0.495758,3,7,0,41.5336,143.422,4.9021,139.007
-40.0334,0.992153,0.495758,3,7,0,41.1205,148.296,4.9315,148.529
-40.0573,0.996302,0.495758,2,7,0,40.1324,146.855,7.59084,139.4
-44.4495,0.478128,0.495758,3,7,0,45.2328,150.145,0.0646947,150.102
-42.606,0.990316,0.495758,3,7,0,44.8682,149.681,0.367011,149.579
-44.5852,0.88414,0.495758,2,7,0,44.6187,152.812,0.160034,152.846
-42.7003,0.992451,0.495758,3,7,0,45.0598,149.121,0.301635,149.23
-42.3053,0.988702,0.495758,2,7,0,43.3068,144.805,0.588074,145.241
-42.4792,1,0.495758,3,7,0,42.7716,146.352,0.361451,146.69
-42.0214,0.996979,0.495758,2,3,0,42.6751,147.455,0.529888,147.13
-42.0407,0.973235,0.495758,3,7,0,42.521,149.352,0.60669,150.14
-42.7272,0.999738,0.495758,2,7,0,43.5298,148.635,0.275738,149.102
-41.7621,0.909453,0.495758,2,7,0,42.9601,149.466,0.819378,150.575
-41.3055,0.984761,0.495758,2,7,0,42.2475,151.069,1.98502,148.828
-41.6117,0.991876,0.495758,2,3,0,41.9246,150.73,1.30741,150.557
-40.4263,0.932694,0.495758,1,3,0,43.3036,147.291,2.76779,143.845
-39.9907,0.912068,0.495758,1,3,0,41.2055,147.103,6.70824,144.498
-40.2044,0.945963,0.495758,3,7,0,40.3772,147.964,3.63871,143.962
-40.0497,0.906994,0.495758,2,3,0,41.0912,148.935,7.18872,147.805
-40.123,0.992657,0.495758,2,3,0,40.1958,149.723,5.92093,157.655
-40.5025,0.909411,0.495758,1,3,0,41.3678,148.817,2.72689,147.277
-40.1641,0.999614,0.495758,1,3,0,41.0648,149.725,5.20563,140.606
-40.7853,0.993264,0.495758,2,3,0,41.2525,147.935,11.9304,141.144
-42.3889,0.482078,0.495758,1,1,0,42.656,148.212,17.7029,121.607
-40.1372,1,0.495758,2,3,0,41.5079,148.674,8.37329,151.992
-40.1521,0.975433,0.495758,2,5,0,40.3426,146.249,4.42771,142.842
-40.0308,0.993373,0.495758,3,7,0,40.2802,147.524,7.55987,149.05
-40.139,0.985446,0.495758,2,5,0,40.4027,149.028,8.18803,149.975
-40.3597,0.982066,0.495758,1,3,0,40.7383,151.013,7.221,155.575
-40.4294,0.994557,0.495758,1,1,0,40.436,151.207,7.91472,157.656
-40.4618,0.996796,0.495758,1,1,0,40.4793,151.298,8.12626,154.554
-39.9758,0.990757,0.495758,2,7,0,40.6207,147.838,6.63149,147.041
-41.5903,0.894475,0.495758,3,7,0,42.3148,140.997,10.3264,139.741
-41.5903,0.89599,0.495758,1,1,0,41.9745,140.997,10.3264,130.034
-43.7315,0.346084,0.495758,1,1,0,43.8395,141.438,20.4406,140.282
-42.4125,1,0.495758,2,3,0,43.8428,138.864,9.88704,154.439
-42.5131,0.557049,0.495758,3,7,0,46.1241,154.024,2.38246,155.425
-41.9098,1,0.495758,3,7,0,42.6728,141.347,13.0549,159.633
-41.8355,1,0.495758,2,3,0,42.594,140.485,6.35319,141.819
-42.9295,0.793485,0.495758,2,3,0,43.6904,140.274,2.77911,141.451
-41.4342,0.9271,0.495758,3,7,0,43.5666,141.148,7.32622,142.571
-41.9258,0.653898,0.495758,2,3,0,44.382,141.546,3.3634,139.246
-42.3247,0.97322,0.495758,1,1,0,42.3745,141.132,2.91014,142.468
-39.9968,0.921842,0.495758,3,7,0,43.7831,147.069,6.82312,146.189
-41.6369,0.786979,0.495758,3,7,0,41.7285,144.624,1.21275,146.176
-40.9668,0.96632,0.495758,3,7,0,41.8885,151.928,11.1629,180.358
-40.9668,0.234795,0.495758,1,1,0,42.9672,151.928,11.1629,149.144
-40.9446,0.821754,0.495758,3,7,0,41.7796,142.673,5.51431,135.538
-40.6871,0.982719,0.495758,2,7,0,41.6292,150.036,2.7936,149.532
-40.6635,0.966033,0.495758,2,7,0,41.5562,147.525,2.11878,147.483
-41.7423,0.952151,0.495758,2,3,0,41.9377,151.29,1.38565,153.299
-40.4772,1,0.495758,2,3,0,41.7595,146.787,2.69283,146.187
-40.4739,0.999697,0.495758,2,3,0,40.6152,147.612,2.60754,143.583
-40.2337,0.993664,0.495758,3,7,0,41.1912,147.482,3.48037,151.004
-40.4384,0.940838,0.495758,3,7,0,41.8015,148.067,2.745,143.275
-40.9024,0.964933,0.495758,2,7,0,41.1975,149.884,2.14304,150.845
-40.4584,0.973689,0.495758,3,7,0,41.4158,143.997,6.51346,144.548
-41.1897,0.954561,0.495758,1,3,0,41.6637,141.832,8.90307,141.084
-40.0704,0.529247,0.495758,3,7,0,43.7174,147.874,7.99141,163.48
-40.0455,0.91524,0.495758,3,7,0,40.8434,148.302,7.63795,159.298
-41.5647,0.721713,0.495758,3,7,0,44.3298,153.55,4.31358,162.509
-41.5226,0.971666,0.495758,2,3,0,41.9797,151.822,13.8725,156.577
-40.1946,1,0.495758,3,7,0,41.7495,149.062,4.15805,147.947
-40.4504,0.984136,0.495758,2,5,0,40.633,146.533,2.84984,145.367
-40.3209,0.994071,0.495758,3,7,0,40.5554,148.498,3.25325,152.91
-40.3296,0.981832,0.495758,3,7,0,40.7309,146.761,9.61012,141.495
-40.2742,0.942625,0.495758,2,7,0,41.0528,145,5.24723,134.192
-40.6937,0.955101,0.495758,3,7,0,41.9425,143.199,6.40687,145.997
-40.0394,0.97816,0.495758,3,7,0,41.0937,148.896,5.47562,151.68
-40.2174,0.983742,0.495758,2,3,0,40.2655,149.297,4.20927,148.02
-40.9959,0.941233,0.495758,3,7,0,41.4905,153.181,8.88453,154.684
-39.9739,0.992547,0.495758,2,5,0,41.4638,147.388,5.8085,142.106
-40.8785,0.937907,0.495758,3,7,0,40.9346,144.541,2.71715,144.924
-40.6074,0.995865,0.495758,3,7,0,42.2027,149.605,2.76646,152.83
-40.1677,0.997713,0.495758,2,3,0,40.7644,148.08,3.8498,150.278
-40.2365,0.993544,0.495758,3,7,0,40.3793,147.93,9.23489,157.827
-40.2695,0.999479,0.495758,3,7,0,40.3946,148.933,3.66516,158.636
-41.2803,0.977625,0.495758,3,7,0,41.4513,146.241,1.22563,144.306
-41.6593,0.983132,0.495758,3,7,0,41.8984,144.529,1.22001,144.227
-42.4648,0.94922,0.495758,2,3,0,42.7366,142.289,1.37609,141.639
-40.832,0.999249,0.495758,2,3,0,42.5691,143.808,3.7011,139.581
-40.6352,0.996762,0.495758,3,7,0,41.1627,144.742,10.1147,131.266
-39.987,0.997586,0.495758,2,7,0,41.6228,147.799,6.92218,154.992
-41.4563,0.583481,0.495758,3,7,0,43.9459,141.435,10.3988,150.779
-41.8938,0.828643,0.495758,2,3,0,42.1859,140.492,5.93989,145.163
