# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = AnnexJ_model
# start_datetime = 2023-10-02 19:46:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/AnnexJ_data_1.json
# init = 2 (Default)
# random
#   seed = 4179057733 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/AnnexJ_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 0.957739
# Diagonal elements of inverse mass matrix:
# 0.00623829
-158.319,0.751645,0.957739,1,3,0,159.592,35.3384,44.0393,73.1113
-157.371,1,0.957739,2,3,0,158.112,41.3226,37.2811,73.1113
-157.295,1,0.957739,1,1,0,157.356,40.7355,96.3181,73.1113
-157.327,0.761884,0.957739,2,3,0,159.312,41.0109,47.195,73.1113
-157.379,0.919497,0.957739,2,3,0,158.041,37.9867,133.595,73.1113
-157.266,0.981118,0.957739,1,3,0,157.513,40.4104,53.0438,73.1113
-157.642,0.961627,0.957739,2,3,0,157.651,36.9207,45.1057,73.1113
-157.399,1,0.957739,1,1,0,157.588,37.8789,47.2284,73.1113
-157.345,0.900267,0.957739,2,3,0,158.207,41.1444,165.738,73.1113
-157.253,0.988848,0.957739,1,3,0,157.434,39.0571,71.4492,73.1113
-157.253,0.994544,0.957739,1,3,0,157.298,40.2138,74.7467,73.1113
-157.445,0.968484,0.957739,2,3,0,157.52,41.7497,97.7461,73.1113
-157.44,0.99994,0.957739,2,7,0,157.445,37.682,62.8092,73.1113
-157.244,0.998617,0.957739,1,3,0,157.421,39.2455,25.3126,73.1113
-157.255,0.99732,0.957739,1,1,0,157.256,39.0158,55.5433,73.1113
-157.245,0.991952,0.957739,2,3,0,157.319,40.0539,127.546,73.1113
-157.545,0.939402,0.957739,1,3,0,157.601,42.229,111.302,73.1113
-157.807,0.856271,0.957739,1,3,0,158.819,36.4441,56.7104,73.1113
-157.264,0.997995,0.957739,1,3,0,157.737,38.893,80.9192,73.1113
-157.249,1,0.957739,1,1,0,157.261,39.1339,119.899,73.1113
-158.088,0.835547,0.957739,1,3,0,158.231,35.7887,176.086,73.1113
-158.233,0.96339,0.957739,1,1,0,158.41,35.5001,74.9376,73.1113
-161.754,0.750576,0.957739,2,3,0,161.754,31.5563,83.403,73.1113
-158.937,1,0.957739,1,1,0,161.053,34.3598,60.3999,73.1113
-159.413,0.87703,0.957739,1,1,0,159.753,33.7452,148.378,73.1113
-159.735,0.913298,0.957739,1,1,0,160.235,33.3754,26.9616,73.1113
-157.758,1,0.957739,2,7,0,159.28,43.0551,27.0828,73.1113
-158.267,0.90285,0.957739,1,1,0,158.286,44.5614,83.6066,73.1113
-158.674,0.923844,0.957739,1,1,0,158.786,45.5438,58.5042,73.1113
-158.008,1,0.957739,1,1,0,158.577,43.8518,-83.6746,73.1113
-157.244,0.989702,0.957739,1,3,0,158.044,40.0277,-4.39964,73.1113
-158.769,0.706051,0.957739,1,3,0,159.252,45.7571,1.54754,73.1113
-159.602,0.854698,0.957739,1,1,0,159.722,47.4328,86.1831,73.1113
-157.627,0.96751,0.957739,1,3,0,159.313,42.5721,104.586,73.1113
-157.716,0.981891,0.957739,1,1,0,157.776,42.9077,156.238,73.1113
-157.246,0.993734,0.957739,1,3,0,157.714,40.0844,120.437,73.1113
-157.26,0.983897,0.957739,2,3,0,157.367,38.9474,28.0887,73.1113
