# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Barson_Rolfe_model
# start_datetime = 2023-10-03 02:25:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_data_1.json
# init = 2 (Default)
# random
#   seed = 4202960196 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_pred_ksi,mu_pred
# Adaptation terminated
# Step size = 0.797042
# Diagonal elements of inverse mass matrix:
# 0.0181774
-69.8295,0.997956,0.797042,1,1,0,69.8338,6.05328,135.638,135.185
-69.9106,0.95437,0.797042,1,3,0,70.3287,5.35398,122.749,135.185
-69.8583,1,0.797042,1,1,0,69.9064,5.42786,135.081,135.185
-70.098,0.872777,0.797042,1,3,0,70.9381,6.44938,120.152,135.185
-69.9106,0.981322,0.797042,3,7,0,70.361,5.35405,132.289,135.185
-69.761,0.951554,0.797042,3,7,0,70.352,5.73485,127.142,135.185
-69.7608,0.99957,0.797042,3,7,0,69.7649,5.76454,142.751,135.185
-72.4378,0.774661,0.797042,3,7,0,72.6324,4.32541,136.53,135.185
-70.9219,1,0.797042,2,3,0,72.1054,4.74178,136.363,135.185
-69.776,1,0.797042,2,3,0,70.7332,5.89251,132.749,135.185
-70.0667,0.933,0.797042,1,3,0,70.4192,5.19566,135.296,135.185
-70.4041,0.950675,0.797042,2,7,0,70.6366,6.7483,148.045,135.185
-70.1856,1,0.797042,1,1,0,70.3847,6.54311,130.585,135.185
-70.0517,1,0.797042,1,1,0,70.1766,6.39572,131.428,135.185
-70.6308,0.945846,0.797042,3,7,0,70.8586,4.8605,138.553,135.185
-70.3752,1,0.797042,3,7,0,70.6359,4.9877,134.92,135.185
-70.9155,0.891709,0.797042,1,1,0,70.9387,4.74416,138.141,135.185
-72.8308,0.629883,0.797042,1,1,0,72.8439,4.24651,136.699,135.185
-71.6549,1,0.797042,1,1,0,72.7263,4.51131,130.636,135.185
-71.0106,1,0.797042,2,7,0,71.5171,7.2122,141.056,135.185
-71.0449,0.996181,0.797042,1,1,0,71.1896,7.23577,133.586,135.185
-71.7992,0.945577,0.797042,3,7,0,72.1576,7.71438,132.629,135.185
-70.1688,1,0.797042,2,3,0,71.77,6.52579,136.767,135.185
-69.9519,0.904735,0.797042,1,3,0,71.3425,5.30544,135.487,135.185
-69.8837,0.930958,0.797042,1,3,0,70.6015,6.1595,126.214,135.185
-70.001,0.930415,0.797042,2,3,0,70.6312,6.33271,144.086,135.185
-70.178,0.976569,0.797042,1,1,0,70.1792,6.53534,135.154,135.185
-70.854,0.834497,0.797042,3,7,0,72.5345,7.1018,131.215,135.185
