# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Barson_Rolfe_model
# start_datetime = 2023-10-03 02:25:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_data_1.json
# init = 2 (Default)
# random
#   seed = 4202960196 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_pred_ksi,mu_pred
# Adaptation terminated
# Step size = 0.946679
# Diagonal elements of inverse mass matrix:
# 0.0176728
-69.7638,1,0.946679,2,3,0,69.832,5.6937,124.472,135.185
-69.8725,0.982461,0.946679,2,3,0,69.9103,5.40599,135.546,135.185
-69.847,1,0.946679,1,1,0,69.8808,5.44662,132.408,135.185
-69.7607,0.998319,0.946679,1,3,0,69.858,5.75974,136.542,135.185
-70.3587,0.864341,0.946679,1,3,0,70.6325,6.70823,134.833,135.185
-69.7608,0.986797,0.946679,1,3,0,70.5163,5.74072,134.888,135.185
-70.0812,0.830801,0.946679,2,3,0,70.959,6.43032,137.551,135.185
-70.4604,0.847982,0.946679,1,3,0,71.5648,4.94213,137.662,135.185
-69.7635,0.988422,0.946679,2,3,0,70.5589,5.69659,141.701,135.185
-69.8753,0.968651,0.946679,1,3,0,69.9497,6.14467,137.127,135.185
-70.593,0.654437,0.946679,2,3,0,73.0547,6.90489,146.493,135.185
-69.8832,0.917905,0.946679,1,3,0,71.3742,5.39055,133.65,135.185
-69.8826,1,0.946679,1,1,0,69.9116,5.39146,127.337,135.185
-70.2379,0.839988,0.946679,1,3,0,70.9303,6.59539,136.911,135.185
-69.9603,1,0.946679,1,1,0,70.1872,6.27797,125.497,135.185
-69.8229,0.974908,0.946679,1,3,0,70.2227,5.4914,147.295,135.185
-72.5589,0.656907,0.946679,2,3,0,72.56,8.14832,133.839,135.185
-72.5589,0.920889,0.946679,1,1,0,73.3582,8.14832,137.389,135.185
-69.761,1,0.946679,2,3,0,72.0656,5.77267,129.562,135.185
-69.7629,0.999362,0.946679,1,3,0,69.7649,5.70391,124.506,135.185
-69.7629,0.755602,0.946679,1,3,0,71.2415,5.70391,132.838,135.185
-70.0939,0.956419,0.946679,2,3,0,70.1065,6.44473,131.766,135.185
-69.8426,0.964689,0.946679,1,3,0,70.482,5.45414,137.818,135.185
-69.8673,0.994073,0.946679,1,1,0,69.8808,5.41391,137.29,135.185
-70.5262,0.779721,0.946679,1,3,0,71.4282,6.85119,132.823,135.185
-69.9024,0.995329,0.946679,2,7,0,70.3993,5.3646,145.573,135.185
-70.0628,0.896309,0.946679,1,3,0,70.6357,6.40894,137.128,135.185
-69.8345,0.968224,0.946679,1,3,0,70.4128,5.4688,125.347,135.185
-69.9068,0.982642,0.946679,1,1,0,69.912,5.35886,133.459,135.185
-70.3855,0.792658,0.946679,1,3,0,71.2721,6.73197,133.483,135.185
-70.8443,0.927216,0.946679,1,1,0,70.8643,7.09478,135.471,135.185
-69.9416,0.977278,0.946679,1,3,0,70.7541,6.25118,133.893,135.185
-70.0674,0.976664,0.946679,1,1,0,70.0773,6.41424,134.71,135.185
-69.9382,0.924529,0.946679,2,7,0,70.6502,5.32087,132.702,135.185
-70.3682,0.893995,0.946679,1,1,0,70.3696,4.99161,126.901,135.185
-70.3682,0.891741,0.946679,1,1,0,70.7434,4.99161,138.005,135.185
-70.2721,1,0.946679,1,1,0,70.4524,5.04826,132.941,135.185
-69.7611,0.99366,0.946679,1,3,0,70.2846,5.73221,135.643,135.185
-71.5118,0.659446,0.946679,1,3,0,72.513,7.53949,137.98,135.185
-69.8339,0.974348,0.946679,1,3,0,71.6495,6.0631,132.052,135.185
-69.795,0.908572,0.946679,2,3,0,70.5745,5.96297,142.15,135.185
-71.4783,0.80195,0.946679,2,3,0,71.6147,7.51856,136.457,135.185
-72.1792,0.87145,0.946679,2,3,0,73.7264,7.93573,142.258,135.185
-72.5414,0.953147,0.946679,1,1,0,72.8066,8.13868,142.074,135.185
-69.955,0.777206,0.946679,1,3,0,74.7579,5.30207,130.298,135.185
-69.8479,0.954919,0.946679,1,3,0,70.2665,6.09257,138.371,135.185
-70.4745,0.951372,0.946679,2,3,0,70.4817,4.93497,140.39,135.185
-70.0469,1,0.946679,1,1,0,70.3748,5.21268,141.792,135.185
-69.7654,0.997932,0.946679,1,3,0,70.0306,5.6802,138.376,135.185
-69.7991,0.994159,0.946679,1,3,0,69.8008,5.54611,130.777,135.185
-69.8616,0.965862,0.946679,1,3,0,70.029,6.11946,135.705,135.185
-69.7832,0.985703,0.946679,2,3,0,70.0036,5.59389,133.788,135.185
-70.4775,0.908264,0.946679,2,3,0,70.4823,6.81091,132.58,135.185
-69.7812,0.916723,0.946679,2,3,0,71.3771,5.60116,130.973,135.185
-69.8348,0.976474,0.946679,2,3,0,69.9451,6.06507,135.422,135.185
-70.3011,0.874673,0.946679,1,3,0,70.7617,5.03054,138.289,135.185
-70.0968,1,0.946679,1,1,0,70.2934,5.17098,132.457,135.185
-69.8669,0.935822,0.946679,1,3,0,70.5198,6.12932,134.274,135.185
-70.0063,0.93613,0.946679,1,3,0,70.398,5.24976,126.737,135.185
-69.9229,0.923004,0.946679,1,3,0,70.524,6.2233,131.008,135.185
-69.8292,0.865738,0.946679,2,3,0,71.1082,6.05256,122.998,135.185
-69.8515,0.955779,0.946679,2,3,0,70.25,5.4389,138.531,135.185
-70.0675,0.8946,0.946679,2,7,0,70.5335,6.41446,122.433,135.185
-69.8736,1,0.946679,1,1,0,70.0303,6.14167,127.139,135.185
-69.9104,0.997619,0.946679,2,3,0,69.9241,6.20373,130.598,135.185
-70.8496,0.784019,0.946679,1,3,0,71.7172,4.76929,138.512,135.185
-74.9767,0.646326,0.946679,2,3,0,75.0397,3.91379,134.894,135.185
-72.0324,1,0.946679,1,1,0,74.3031,4.41604,136.074,135.185
-70.7133,1,0.946679,1,1,0,71.7215,4.82453,131.525,135.185
-69.7693,0.973201,0.946679,1,3,0,70.8663,5.85789,132.269,135.185
-72.1522,0.721373,0.946679,2,3,0,72.2395,7.92036,133.089,135.185
-69.7767,1,0.946679,2,3,0,71.7974,5.89557,138.623,135.185
-70.2781,0.882837,0.946679,1,3,0,70.5407,5.04455,144.97,135.185
-70.4656,0.698477,0.946679,1,3,0,72.2057,6.80091,139.347,135.185
-71.2017,0.962825,0.946679,2,3,0,71.206,7.34105,135.828,135.185
-70.736,1,0.946679,1,1,0,71.187,7.01506,134.304,135.185
-69.8224,0.981267,0.946679,1,3,0,70.738,6.03695,140.218,135.185
-69.7648,0.977365,0.946679,2,3,0,70.0043,5.68467,135.474,135.185
-69.7645,1,0.946679,1,1,0,69.7655,5.68744,126.757,135.185
-69.9475,0.976358,0.946679,2,3,0,69.9522,6.25976,128.844,135.185
-70.1885,0.899381,0.946679,1,3,0,70.8604,5.10302,140.307,135.185
-70.3692,0.951635,0.946679,1,1,0,70.4432,4.99105,132.677,135.185
-69.9355,1,0.946679,2,7,0,70.2801,6.24227,140.302,135.185
-70.0318,0.994001,0.946679,2,3,0,70.045,6.37158,137.378,135.185
-69.7655,0.995497,0.946679,1,3,0,70.0465,5.83109,132.733,135.185
-70.2191,0.946609,0.946679,2,3,0,70.2781,5.08228,131.371,135.185
-70.601,0.89845,0.946679,1,1,0,70.6577,4.87399,139.257,135.185
-70.0048,1,0.946679,1,1,0,70.4437,5.25123,137.869,135.185
