# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Barson_Rolfe_model
# start_datetime = 2023-10-03 02:25:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_data_1.json
# init = 2 (Default)
# random
#   seed = 4202960196 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_pred_ksi,mu_pred
# Adaptation terminated
# Step size = 0.912853
# Diagonal elements of inverse mass matrix:
# 0.0185225
-69.8313,1,0.912853,1,1,0,69.8591,5.47474,139.31,135.185
-70.1913,0.868442,0.912853,2,7,0,70.7344,6.54887,136.042,135.185
-69.799,0.99781,0.912853,2,3,0,70.213,5.97528,138.047,135.185
-69.799,0.860195,0.912853,1,3,0,70.7,5.97528,130.439,135.185
-69.7784,1,0.912853,1,1,0,69.7952,5.90302,137.329,135.185
-69.7636,0.995425,0.912853,2,3,0,69.8172,5.69645,125.396,135.185
-72.2621,0.606833,0.912853,1,3,0,72.6876,4.36341,137.635,135.185
-70.8472,1,0.912853,2,3,0,71.9406,4.77021,130.504,135.185
-70.8472,0.786696,0.912853,1,1,0,71.5606,4.77021,137.628,135.185
-71.3385,0.860613,0.912853,1,1,0,71.5492,4.60178,129.771,135.185
-71.2972,1,0.912853,1,1,0,71.7454,4.61447,133.436,135.185
-69.8539,0.82593,0.912853,2,3,0,72.7428,5.43498,136.779,135.185
-70.465,0.787378,0.912853,1,3,0,71.3132,6.8004,145.959,135.185
-70.0866,1,0.912853,2,3,0,70.4015,6.43643,129.955,135.185
-70.7419,0.941768,0.912853,2,7,0,70.7687,4.81255,130.899,135.185
-73.6646,0.385025,0.912853,1,1,0,73.7111,4.10097,132.758,135.185
-70.8041,1,0.912853,1,1,0,72.7837,4.78723,124.163,135.185
-69.8851,1,0.912853,2,3,0,70.6113,6.16194,136.945,135.185
-70.0546,0.989636,0.912853,2,3,0,70.0551,6.39921,131.971,135.185
-70.1877,0.976791,0.912853,1,1,0,70.2111,6.54523,145.291,135.185
-69.8145,0.857899,0.912853,2,3,0,71.5965,6.01761,129.763,135.185
-69.7752,0.992152,0.912853,1,3,0,69.8826,5.62487,134.219,135.185
-69.7917,0.989749,0.912853,1,3,0,69.8505,5.95265,138.462,135.185
-69.8056,0.986199,0.912853,1,3,0,69.9075,5.52979,136.129,135.185
-69.7738,1,0.912853,2,7,0,69.8002,5.8823,128.553,135.185
-69.856,0.973725,0.912853,1,3,0,69.9498,5.43159,143.288,135.185
-69.8961,0.996838,0.912853,2,3,0,69.9093,5.37281,132.677,135.185
-69.7959,0.97661,0.912853,1,3,0,70.057,5.96584,136.291,135.185
-69.796,0.99584,0.912853,2,3,0,69.8466,5.96625,130.582,135.185
-69.7691,0.995033,0.912853,1,3,0,69.8377,5.65532,127.835,135.185
-70.1029,0.858842,0.912853,2,3,0,70.7517,6.45481,135.918,135.185
-70.057,0.976042,0.912853,2,3,0,70.4561,6.40206,125.401,135.185
-69.9004,1,0.912853,2,3,0,70.0298,6.18751,131.737,135.185
-69.8958,1,0.912853,1,1,0,69.9247,6.17995,148.589,135.185
-70.1615,0.902329,0.912853,1,3,0,70.7325,5.1221,135.114,135.185
-71.6566,0.655969,0.912853,1,1,0,71.6568,4.51084,132.088,135.185
-71.6979,1,0.912853,2,7,0,71.699,7.65359,135.4,135.185
-71.6187,1,0.912853,1,1,0,71.9575,7.60543,130.453,135.185
-72.5817,0.959758,0.912853,2,3,0,72.6448,8.16089,137.404,135.185
-71.49,1,0.912853,1,1,0,72.471,7.52589,145.192,135.185
-70.5497,1,0.912853,2,3,0,71.3458,6.87029,138.741,135.185
-69.9854,0.902061,0.912853,1,3,0,71.6204,5.27026,139.869,135.185
-69.8016,1,0.912853,2,7,0,69.9463,5.983,136.046,135.185
-70.5073,0.839271,0.912853,1,3,0,70.966,4.91852,129.249,135.185
-69.9659,0.864973,0.912853,1,3,0,71.3981,6.28585,141.442,135.185
-69.7793,0.996918,0.912853,1,3,0,69.9523,5.90684,141.118,135.185
-69.9952,0.962329,0.912853,1,3,0,70.0266,6.32529,151.169,135.185
-70.2678,0.948165,0.912853,2,3,0,70.5849,6.62419,131.664,135.185
-70.8488,0.909312,0.912853,1,1,0,70.8503,7.09803,121.129,135.185
-69.8337,0.824673,0.912853,2,3,0,72.9105,6.06277,131.218,135.185
-69.7852,0.988456,0.912853,1,3,0,69.9384,5.5872,131.479,135.185
-70.1909,0.848687,0.912853,2,3,0,70.8297,6.54853,135.422,135.185
-70.4553,0.95634,0.912853,1,1,0,70.4762,6.79224,131.289,135.185
-70.4649,0.99843,0.912853,1,1,0,70.5859,6.80036,136.096,135.185
-69.7822,1,0.912853,2,3,0,70.3257,5.59739,147.216,135.185
-69.766,0.970333,0.912853,2,3,0,70.0007,5.83524,138.716,135.185
