# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = BS7910_us_model
# start_datetime = 2023-10-03 02:26:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_data_1.json
# init = 2 (Default)
# random
#   seed = 4203047700 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 0.979553
# Diagonal elements of inverse mass matrix:
# 0.00605437
-159.18,1,0.979553,2,3,0,160.617,46.619,136.659,71.2
-157.999,1,0.979553,1,1,0,158.949,43.8231,106.159,71.2
-158.311,0.939105,0.979553,1,1,0,158.397,44.6758,9.81781,71.2
-159.503,0.745461,0.979553,2,3,0,162.956,33.6387,80.3654,71.2
-158.042,1,0.979553,1,1,0,159.14,35.8882,63.3684,71.2
-159.207,0.731819,0.979553,1,1,0,159.254,33.9998,133.726,71.2
-157.376,1,0.979553,1,3,0,158.852,38.0032,31.6727,71.2
-158.239,0.809055,0.979553,2,3,0,159.061,35.4889,89.5214,71.2
-157.599,1,0.979553,2,3,0,158.086,37.0611,122.83,71.2
-157.495,1,0.979553,2,3,0,157.614,37.4417,52.8938,71.2
-157.534,0.899096,0.979553,1,3,0,158.259,42.1818,72.742,71.2
-157.579,0.904111,0.979553,2,3,0,158.599,37.1297,-5.61071,71.2
-157.277,0.980244,0.979553,2,3,0,157.731,38.7354,43.7412,71.2
-157.277,0.93412,0.979553,1,3,0,157.573,38.7354,43.4899,71.2
-157.251,1,0.979553,1,1,0,157.272,39.085,102.135,71.2
-160.553,0.488198,0.979553,1,3,0,161.107,32.5531,13.4241,71.2
-158.764,1,0.979553,2,3,0,160.193,34.6088,110.423,71.2
-157.469,1,0.979553,2,3,0,158.472,41.8762,60.5781,71.2
-157.421,1,0.979553,1,1,0,157.487,41.6214,66.2983,71.2
-157.417,1,0.979553,1,1,0,157.459,41.6013,129.99,71.2
-157.287,0.976789,0.979553,1,3,0,157.62,38.6367,82.601,71.2
-158.142,0.845847,0.979553,2,3,0,158.637,35.678,43.3737,71.2
-157.276,1,0.979553,2,3,0,158,40.5325,96.0684,71.2
-157.523,0.955427,0.979553,2,3,0,157.66,42.1309,36.4967,71.2
-158.037,0.898387,0.979553,1,1,0,158.037,43.9339,88.3252,71.2
-157.712,1,0.979553,1,1,0,158.005,42.8915,40.4967,71.2
-158.215,0.902145,0.979553,1,1,0,158.231,44.4256,6.39471,71.2
-157.269,0.988495,0.979553,1,3,0,158.18,40.4557,38.6534,71.2
-157.243,0.977989,0.979553,2,3,0,157.43,39.2587,98.1595,71.2
-157.629,0.687886,0.979553,2,3,0,159.707,42.5794,116.54,71.2
-157.92,0.941419,0.979553,1,1,0,157.947,43.5869,106.106,71.2
-157.545,1,0.979553,1,1,0,157.85,42.2307,40.227,71.2
-157.615,0.985427,0.979553,1,1,0,157.664,42.5233,60.7585,71.2
-157.455,1,0.979553,1,1,0,157.597,41.8026,55.048,71.2
-157.34,1,0.979553,1,1,0,157.434,41.1107,39.4263,71.2
-157.34,0.644316,0.979553,1,3,0,159.504,41.1107,40.9904,71.2
-157.239,0.841395,0.979553,2,3,0,158.585,39.856,98.8518,71.2
-157.246,0.890578,0.979553,2,3,0,158.054,39.1915,54.6411,71.2
-157.246,0.998141,0.979553,2,3,0,157.264,39.1911,13.789,71.2
-157.465,0.972819,0.979553,2,3,0,157.471,41.8533,50.5034,71.2
-157.413,0.947722,0.979553,1,3,0,157.958,37.8084,71.4288,71.2
-159.603,0.655148,0.979553,1,3,0,159.707,33.5236,70.7697,71.2
-157.242,0.983219,0.979553,1,3,0,159.515,39.2786,82.3688,71.2
-157.537,0.938853,0.979553,1,3,0,157.584,37.28,71.5569,71.2
-157.237,1,0.979553,2,3,0,157.511,39.774,108.855,71.2
-157.237,0.999993,0.979553,2,3,0,157.237,39.7801,28.7368,71.2
-157.523,0.931403,0.979553,1,3,0,157.629,37.3341,104.34,71.2
-157.404,1,0.979553,1,1,0,157.512,37.8555,66.8389,71.2
-157.657,0.979953,0.979553,2,3,0,157.663,36.8715,63.0397,71.2
-157.673,0.99596,0.979553,1,1,0,157.772,36.8218,60.2145,71.2
-157.259,0.998689,0.979553,1,3,0,157.615,38.965,51.7292,71.2
-157.599,0.899944,0.979553,1,3,0,157.866,42.458,60.4552,71.2
-157.397,1,0.979553,2,3,0,157.56,41.4827,67.9275,71.2
-158.173,0.886241,0.979553,1,3,0,158.202,44.3135,51.9219,71.2
-158.627,0.913908,0.979553,1,1,0,158.718,45.4366,56.3069,71.2
-157.236,1,0.979553,2,3,0,158.453,39.6205,25.7512,71.2
-157.335,0.848239,0.979553,2,3,0,158.32,41.0699,51.7461,71.2
-157.364,0.993703,0.979553,1,1,0,157.378,41.2741,123.135,71.2
-158.029,0.889132,0.979553,2,3,0,158.401,43.9109,109.434,71.2
-158.547,0.901528,0.979553,1,1,0,158.605,45.2528,31.9059,71.2
-157.356,0.980319,0.979553,2,3,0,158.726,41.2219,44.0393,71.2
-157.437,0.982545,0.979553,1,1,0,157.447,41.7111,113.919,71.2
-157.237,0.994375,0.979553,1,3,0,157.479,39.4965,43.6697,71.2
-157.237,0.95589,0.979553,2,3,0,157.54,39.5119,131.148,71.2
-158.225,0.77964,0.979553,1,3,0,158.634,44.4535,55.4711,71.2
-157.58,1,0.979553,1,1,0,158.092,42.3795,35.8178,71.2
-157.874,0.940652,0.979553,1,1,0,157.893,43.4406,108.151,71.2
-157.46,1,0.979553,2,3,0,157.787,41.8297,78.9412,71.2
-157.276,0.998813,0.979553,1,3,0,157.425,40.5398,16.6912,71.2
-157.276,0.757979,0.979553,1,3,0,158.586,40.5398,-28.4247,71.2
-157.342,0.985506,0.979553,1,1,0,157.343,41.1278,51.7128,71.2
-157.249,1,0.979553,2,3,0,157.321,39.1218,84.4636,71.2
-157.401,0.971195,0.979553,1,3,0,157.412,37.8689,27.9075,71.2
-157.623,0.916451,0.979553,2,3,0,158.125,36.9803,61.4742,71.2
-157.375,1,0.979553,1,1,0,157.565,38.0124,50.0871,71.2
-157.263,0.99029,0.979553,2,3,0,157.453,38.908,96.6419,71.2
-157.632,0.890579,0.979553,1,3,0,157.932,42.593,94.5846,71.2
-157.535,0.914601,0.979553,1,3,0,158.469,37.2878,83.6987,71.2
-158.137,0.859179,0.979553,1,1,0,158.142,35.6879,-4.34593,71.2
-157.508,0.892646,0.979553,2,3,0,159.091,37.3921,85.0801,71.2
-157.781,0.934381,0.979553,1,1,0,157.802,36.5153,40.3771,71.2
-157.805,0.993692,0.979553,1,1,0,157.933,36.449,97.7038,71.2
-157.543,1,0.979553,1,1,0,157.768,37.2596,49.9224,71.2
-157.249,0.998569,0.979553,1,3,0,157.508,39.1311,78.2777,71.2
-157.478,0.793901,0.979553,2,3,0,158.746,41.917,15.1713,71.2
-157.263,0.998137,0.979553,1,3,0,157.444,40.3681,85.2045,71.2
-157.428,0.972164,0.979553,1,3,0,157.435,41.6578,17.1915,71.2
-162.348,0.565508,0.979553,2,3,0,163.233,51.8139,-50.9602,71.2
-159.607,1,0.979553,1,1,0,161.874,47.4413,113.907,71.2
-161.875,0.659987,0.979553,1,1,0,161.935,51.1327,138.337,71.2
-159.852,1,0.979553,1,1,0,161.617,47.8877,12.3692,71.2
-158.635,0.726846,0.979553,1,3,0,164.213,34.8062,74.1873,71.2
-157.529,1,0.979553,2,7,0,158.38,42.1615,158.005,71.2
-157.367,0.958405,0.979553,1,3,0,157.968,38.0548,-31.9199,71.2
-157.292,1,0.979553,1,1,0,157.352,38.5926,66.9265,71.2
-157.281,0.833719,0.979553,2,3,0,158.567,40.5904,35.0683,71.2
-157.246,0.867574,0.979553,2,3,0,158.278,40.0853,146.538,71.2
-157.304,0.980579,0.979553,1,3,0,157.367,38.4917,18.9207,71.2
-157.348,0.996497,0.979553,2,3,0,157.355,38.1723,120.061,71.2
-157.248,0.994843,0.979553,2,3,0,157.388,39.1421,-2.06189,71.2
-157.732,0.872007,0.979553,1,3,0,158.022,42.9637,121.997,71.2
-157.877,0.970493,0.979553,1,1,0,157.947,43.4511,93.7325,71.2
-157.495,1,0.979553,1,1,0,157.8,42.0023,38.854,71.2
-157.495,0.946206,0.979553,1,1,0,157.714,42.0023,24.8493,71.2
-157.24,0.999966,0.979553,2,3,0,157.494,39.9098,60.2726,71.2
-157.249,0.9962,0.979553,1,3,0,157.265,39.1348,50.4107,71.2
-158.998,0.681886,0.979553,1,3,0,159.304,34.2761,66.7029,71.2
-157.238,0.983273,0.979553,1,3,0,158.989,39.4474,43.2717,71.2
-157.353,0.969392,0.979553,1,3,0,157.411,41.1989,111.347,71.2
-157.245,0.913083,0.979553,2,3,0,158.015,39.2134,69.2147,71.2
-157.482,0.95939,0.979553,2,3,0,157.578,37.4972,113.723,71.2
-157.285,0.968938,0.979553,1,3,0,157.698,40.6419,83.5651,71.2
-157.282,1,0.979553,2,3,0,157.294,40.603,13.9002,71.2
-157.243,0.999804,0.979553,1,3,0,157.275,40.0016,-10.774,71.2
-158.244,0.869021,0.979553,2,3,0,158.403,44.5036,60.0124,71.2
-157.362,0.930978,0.979553,2,3,0,158.981,38.0854,82.0608,71.2
-157.476,0.924959,0.979553,1,3,0,157.91,41.9088,56.3564,71.2
-157.713,0.931923,0.979553,2,3,0,158.17,42.8968,55.6204,71.2
-157.242,0.994432,0.979553,1,3,0,157.72,39.9685,117.776,71.2
-157.569,0.931037,0.979553,1,3,0,157.64,42.3363,131.497,71.2
-157.487,0.927239,0.979553,1,3,0,158.273,37.4751,11.0123,71.2
-157.859,0.911602,0.979553,1,1,0,157.869,36.3116,36.1518,71.2
-157.466,1,0.979553,1,1,0,157.767,37.563,108.042,71.2
-157.501,0.991548,0.979553,1,1,0,157.548,37.4189,34.1538,71.2
-157.445,1,0.979553,2,3,0,157.524,37.6592,41.4335,71.2
-158.039,0.954206,0.979553,2,3,0,158.039,35.8935,125.613,71.2
-157.256,0.963295,0.979553,1,3,0,158.258,40.2747,35.9246,71.2
-157.86,0.882189,0.979553,1,3,0,157.968,43.398,57.8857,71.2
-158.157,0.94155,0.979553,1,1,0,158.221,44.2701,-30.0652,71.2
-158.198,0.991688,0.979553,1,1,0,158.379,44.3822,101.892,71.2
-157.668,1,0.979553,1,1,0,158.099,42.7287,143.754,71.2
