# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Barson_Rolfe_model
# start_datetime = 2023-10-03 02:25:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_data_1.json
# init = 2 (Default)
# random
#   seed = 4202960196 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_pred_ksi,mu_pred
# Adaptation terminated
# Step size = 1.12818
# Diagonal elements of inverse mass matrix:
# 0.0193526
-69.8011,0.880155,1.12818,2,3,0,70.1924,5.54083,129.975,135.185
-69.7682,1,1.12818,2,3,0,69.79,5.66088,122.706,135.185
-69.7976,0.989629,1.12818,1,1,0,69.7983,5.5501,144.229,135.185
-70.3482,0.882645,1.12818,2,3,0,70.4985,6.69874,143.847,135.185
-69.7866,0.959142,1.12818,1,3,0,70.3132,5.58263,133.769,135.185
-69.7699,1,1.12818,1,1,0,69.7823,5.65091,138.151,135.185
-69.7699,0.98045,1.12818,1,1,0,69.8058,5.65091,134.924,135.185
-70.2251,0.890371,1.12818,2,3,0,70.407,6.58276,139.803,135.185
-70.2251,0.501604,1.12818,1,3,0,74.4993,6.58276,128.452,135.185
-70.8691,0.845378,1.12818,1,1,0,70.9095,7.11267,139.361,135.185
-71.2297,0.917813,1.12818,1,1,0,71.4498,7.35944,134.807,135.185
-70.0023,1,1.12818,1,3,0,70.9008,6.33448,132.47,135.185
-70.0896,0.906887,1.12818,2,3,0,70.9974,6.43981,142.822,135.185
-71.8036,0.794125,1.12818,1,3,0,71.8129,7.71703,142.996,135.185
-70.6125,1,1.12818,1,1,0,71.5718,6.92033,132.304,135.185
-70.1318,1,1.12818,2,3,0,70.4503,5.14393,124.233,135.185
-69.7841,1,1.12818,2,3,0,70.0013,5.59087,131.382,135.185
-70.5152,0.843729,1.12818,2,3,0,70.7431,6.84219,135.049,135.185
-69.7867,0.99875,1.12818,2,3,0,70.4741,5.58215,135.242,135.185
-70.5884,0.796902,1.12818,1,3,0,70.5888,4.87983,141.646,135.185
-70.0957,1,1.12818,1,1,0,70.4816,5.17185,138.073,135.185
-70.0957,0.70047,1.12818,1,1,0,70.6522,5.17185,135.217,135.185
-69.8286,0.981234,1.12818,1,3,0,70.1418,6.05122,139.112,135.185
-69.9021,0.977613,1.12818,1,1,0,69.9138,6.19033,130.245,135.185
-69.9021,0.71267,1.12818,1,3,0,71.4608,6.19033,135.593,135.185
-71.0432,0.750386,1.12818,1,3,0,71.2901,4.698,143.203,135.185
-70.3106,1,1.12818,1,1,0,70.9058,5.02483,137.125,135.185
-70.2856,1,1.12818,2,3,0,70.5068,5.03994,141.973,135.185
-69.8812,1,1.12818,1,1,0,70.147,5.39344,146.038,135.185
-70.2473,0.864336,1.12818,1,1,0,70.2712,5.0639,137.608,135.185
-74.9971,0.0843916,1.12818,1,1,0,75.2871,3.91118,134.151,135.185
-69.7651,1,1.12818,1,3,0,72.8577,5.82841,136.088,135.185
-70.0573,0.922754,1.12818,1,3,0,70.0876,5.20365,136.089,135.185
-69.8051,0.977887,1.12818,2,3,0,70.1954,5.9927,134.992,135.185
-69.7846,0.975351,1.12818,2,3,0,69.952,5.9278,144.067,135.185
-69.8007,0.994836,1.12818,1,1,0,69.8062,5.98019,133.673,135.185
-70.035,0.891602,1.12818,2,3,0,70.3804,5.22323,131.246,135.185
-70.0611,0.989522,1.12818,1,1,0,70.1631,5.20044,136.063,135.185
-70.0385,1,1.12818,2,3,0,70.1557,5.22011,132.079,135.185
-69.8416,0.422002,1.12818,2,3,0,72.5397,6.07967,132.398,135.185
