# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Kmat_model
# start_datetime = 2023-10-03 03:36:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Kmat_data_1.json
# init = 2 (Default)
# random
#   seed = 4207215578 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Kmat_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_k,sigma_k,Kmat_pred
# Adaptation terminated
# Step size = 0.412332
# Diagonal elements of inverse mass matrix:
# 0.00464614, 0.304181
-20.7558,0.432611,0.412332,3,7,0,24.1216,126.939,12.8535,132.487
-19.0348,1,0.412332,2,3,0,20.8705,132.193,14.1723,103.603
-18.8177,0.994525,0.412332,3,7,0,19.3963,133.775,17.5729,172.509
-18.4526,0.988549,0.412332,2,7,0,18.9341,138.317,19.0107,144.422
-18.7671,0.978326,0.412332,3,7,0,19.5619,153.294,22.618,149.642
-17.6195,0.995084,0.412332,3,7,0,19.0222,145.458,12.6698,141.397
-17.933,0.984552,0.412332,3,7,0,17.9584,148.379,9.89189,154.504
-17.6264,1,0.412332,2,3,0,17.9873,141.347,10.1031,141.556
-18.5186,0.933506,0.412332,2,7,0,18.8546,135.118,15.6044,115.305
-21.3878,0.920995,0.412332,2,5,0,23.3551,119.972,29.4028,120.137
-21.3878,0.866177,0.412332,1,3,0,23.5098,119.972,29.4028,88.7065
-18.7656,0.992815,0.412332,3,7,0,21.434,134.178,17.6299,123.959
-18.3417,0.981032,0.412332,2,7,0,19.4926,152.104,17.7711,145.197
-19.5906,0.936623,0.412332,2,3,0,19.6263,158.81,14.2571,129.948
-18.9838,0.969004,0.412332,2,7,0,21.8663,152.829,9.83359,172.791
-18.4784,0.98746,0.412332,2,7,0,19.8695,149.517,21.2238,176.863
-18.9616,0.987096,0.412332,3,7,0,19.3939,133.595,11.0653,135.738
-18.5891,1,0.412332,3,7,0,19.5517,143.05,22.2855,177.856
-17.7422,1,0.412332,3,7,0,18.6802,141.796,8.28851,158.613
-17.8558,0.992475,0.412332,2,3,0,17.9914,143.701,7.41407,147.919
-17.9325,0.972885,0.412332,2,3,0,18.1374,145.934,7.80349,148.847
-18.7611,0.984032,0.412332,2,7,0,18.9023,141.484,5.25961,138.715
-18.0224,0.986951,0.412332,1,3,0,19.3507,140.984,7.25104,151.375
-19.3162,0.971145,0.412332,3,7,0,19.6055,143.355,4.28217,149.648
-18.9245,0.976378,0.412332,2,3,0,19.5045,143.322,4.83595,142.842
