# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = AnnexJ_model
# start_datetime = 2023-10-02 19:46:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/AnnexJ_data_1.json
# init = 2 (Default)
# random
#   seed = 4179057733 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/AnnexJ_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 0.959741
# Diagonal elements of inverse mass matrix:
# 0.00619757
-157.241,0.998874,0.959741,1,3,0,157.335,39.9418,110.681,73.1113
-157.247,0.998728,0.959741,1,1,0,157.247,40.0935,62.4781,73.1113
-157.236,0.983621,0.959741,2,3,0,157.361,39.5675,121.624,73.1113
-157.352,0.983478,0.959741,2,3,0,157.374,38.1478,115.297,73.1113
-157.666,0.846895,0.959741,2,3,0,158.467,42.7221,45.4158,73.1113
-157.311,0.95758,0.959741,1,3,0,158.05,38.4291,111.673,73.1113
-158.75,0.752234,0.959741,1,3,0,158.877,34.6296,90.7554,73.1113
-158.183,1,0.959741,1,1,0,158.731,35.5967,63.7181,73.1113
-160.282,0.567689,0.959741,1,1,0,160.301,32.8093,117.029,73.1113
-158.338,1,0.959741,2,3,0,159.8,35.304,107.651,73.1113
-157.277,0.937669,0.959741,1,3,0,158.722,40.5512,17.9445,73.1113
-157.267,1,0.959741,1,1,0,157.279,40.4232,26.1272,73.1113
-157.296,0.968776,0.959741,2,3,0,157.518,38.5555,73.2968,73.1113
-157.755,0.947403,0.959741,2,3,0,157.755,43.0465,-18.5581,73.1113
-157.688,1,0.959741,1,1,0,157.819,42.8063,87.3473,73.1113
-157.526,1,0.959741,1,1,0,157.681,42.1463,87.449,73.1113
-157.788,0.947563,0.959741,1,1,0,157.802,43.1584,138.669,73.1113
-157.289,0.994127,0.959741,1,3,0,157.727,40.6736,123.795,73.1113
-157.455,0.981853,0.959741,2,7,0,157.456,37.6144,154.846,73.1113
-158.196,0.736639,0.959741,1,3,0,159.412,44.3745,54.7343,73.1113
-157.655,1,0.959741,1,1,0,158.093,42.6828,-18.7517,73.1113
-158.252,0.886492,0.959741,1,1,0,158.256,44.5247,150.209,73.1113
-158.296,0.996358,0.959741,2,7,0,158.296,35.3819,45.4475,73.1113
-157.591,1,0.959741,1,1,0,158.125,37.0865,82.5729,73.1113
-158.029,0.965676,0.959741,2,3,0,158.048,35.9158,36.798,73.1113
-160.106,0.575143,0.959741,1,1,0,160.112,32.9839,24.6098,73.1113
-157.284,1,0.959741,2,3,0,159.879,40.624,79.4672,73.1113
-157.251,0.985617,0.959741,2,3,0,157.403,39.0901,56.1914,73.1113
-157.416,0.969475,0.959741,1,3,0,157.428,37.7971,96.9949,73.1113
-157.237,0.994397,0.959741,1,3,0,157.451,39.7786,41.9079,73.1113
-157.481,0.941263,0.959741,1,3,0,157.578,37.5028,79.2101,73.1113
-157.238,0.99208,0.959741,1,3,0,157.53,39.818,134.228,73.1113
-157.361,0.973474,0.959741,1,3,0,157.389,41.2567,56.2497,73.1113
-157.361,0.597518,0.959741,1,3,0,159.994,41.2567,64.2063,73.1113
-157.282,0.980382,0.959741,1,3,0,157.532,38.6854,58.914,73.1113
-157.381,0.954213,0.959741,1,3,0,157.588,41.3878,117.293,73.1113
-158.43,0.839643,0.959741,1,3,0,158.511,44.9712,55.893,73.1113
-158.104,0.777981,0.959741,1,3,0,160.941,35.7572,73.1197,73.1113
-157.693,1,0.959741,1,1,0,158.041,36.7637,94.2471,73.1113
-157.24,0.995256,0.959741,1,3,0,157.683,39.3475,82.931,73.1113
-157.236,0.882727,0.959741,2,3,0,158.116,39.5724,99.3274,73.1113
-157.572,0.92528,0.959741,1,3,0,157.667,37.1546,42.8597,73.1113
-157.565,1,0.959741,2,7,0,157.568,42.316,48.6148,73.1113
-157.643,0.984026,0.959741,1,1,0,157.693,42.6337,-9.44801,73.1113
-157.537,1,0.959741,2,3,0,157.66,42.1965,88.1867,73.1113
-157.24,0.987871,0.959741,1,3,0,157.63,39.3447,86.543,73.1113
-157.471,0.970597,0.959741,2,3,0,157.482,41.8851,115.794,73.1113
-157.476,0.968943,0.959741,2,3,0,157.843,41.9111,72.4136,73.1113
-157.474,1,0.959741,1,1,0,157.526,41.9017,34.7905,73.1113
-157.238,0.798634,0.959741,2,3,0,159.201,39.8006,70.3507,73.1113
-157.267,0.991444,0.959741,1,3,0,157.288,38.8494,111.117,73.1113
-157.254,0.996061,0.959741,2,3,0,157.305,39.0345,37.9862,73.1113
-157.402,0.95146,0.959741,1,3,0,157.551,41.5115,68.6214,73.1113
-157.521,0.921446,0.959741,1,3,0,158.056,37.3421,108.879,73.1113
-157.948,0.850108,0.959741,2,3,0,158.872,36.0965,160.314,73.1113
-157.261,1,0.959741,2,3,0,157.837,40.3378,19.6608,73.1113
-157.353,0.981228,0.959741,2,3,0,157.423,41.2053,47.2147,73.1113
-157.402,0.989813,0.959741,1,1,0,157.416,41.5104,68.5074,73.1113
-158.336,0.862774,0.959741,1,3,0,158.387,44.738,91.8948,73.1113
-158.673,0.936732,0.959741,1,1,0,158.811,45.5425,56.4204,73.1113
-163.51,0.560462,0.959741,1,3,0,163.685,53.4088,115.978,73.1113
-162.691,1,0.959741,1,1,0,164.136,52.2959,149.208,73.1113
-162.219,1,0.959741,1,1,0,163.394,51.6304,140.011,73.1113
-157.823,0.914995,0.959741,1,3,0,161.831,43.2775,140.551,73.1113
-157.554,0.906908,0.959741,1,3,0,158.849,37.2159,76.6385,73.1113
-158.466,0.931884,0.959741,2,3,0,158.466,35.0818,96.9952,73.1113
-158.325,1,0.959741,1,1,0,158.667,35.3281,140.545,73.1113
-157.353,1,0.959741,1,3,0,158.13,38.1426,111.935,73.1113
-157.313,0.847244,0.959741,2,3,0,158.558,40.8951,119.862,73.1113
-157.283,0.984503,0.959741,1,3,0,157.458,38.6752,80.3438,73.1113
-157.256,0.95827,0.959741,2,3,0,157.592,40.2707,73.6911,73.1113
-157.473,0.960682,0.959741,1,3,0,157.495,41.8971,114.111,73.1113
-158.558,0.926187,0.959741,2,3,0,158.558,34.9293,-3.66689,73.1113
-158.444,1,0.959741,1,1,0,158.804,35.1179,64.1835,73.1113
-157.516,1,0.959741,2,7,0,158.237,42.1001,14.3032,73.1113
-157.311,0.965014,0.959741,1,3,0,157.831,38.436,50.8207,73.1113
-157.311,0.757756,0.959741,1,3,0,158.502,38.436,138.399,73.1113
-157.241,0.99814,0.959741,2,3,0,157.325,39.3335,-46.6471,73.1113
-157.399,0.967529,0.959741,1,3,0,157.424,37.8823,101.793,73.1113
-157.565,0.961015,0.959741,1,1,0,157.575,37.1788,98.3759,73.1113
-157.391,1,0.959741,1,1,0,157.532,37.9247,158.451,73.1113
-157.237,0.997984,0.959741,1,3,0,157.394,39.5169,92.6673,73.1113
-157.948,0.908512,0.959741,2,3,0,158.007,43.6704,55.0772,73.1113
-157.808,1,0.959741,1,1,0,158.003,43.2258,25.2057,73.1113
-158.723,0.834028,0.959741,1,1,0,158.724,45.6535,92.856,73.1113
-157.407,0.980766,0.959741,1,3,0,158.563,41.5436,75.9576,73.1113
-157.287,0.962417,0.959741,2,3,0,157.746,38.6405,121.785,73.1113
-158.83,0.729923,0.959741,1,3,0,159.008,34.5117,37.6264,73.1113
-157.412,1,0.959741,1,3,0,158.531,37.8168,61.1035,73.1113
-157.785,0.840769,0.959741,2,3,0,158.6,43.1497,50.6209,73.1113
-157.559,1,0.959741,1,1,0,157.761,42.2894,20.86,73.1113
-158.169,0.883015,0.959741,1,1,0,158.169,44.3032,4.63325,73.1113
-157.663,1,0.959741,1,1,0,158.076,42.7108,155.808,73.1113
-157.507,1,0.959741,1,1,0,157.655,42.0572,84.6465,73.1113
-157.507,0.528371,0.959741,1,3,0,161.37,42.0572,83.5947,73.1113
-161.347,0.720665,0.959741,2,3,0,161.598,31.872,146.47,73.1113
-160.005,1,0.959741,1,1,0,161.459,33.087,41.2925,73.1113
-157.308,0.878273,0.959741,1,3,0,160.727,40.8583,91.4403,73.1113
-157.312,0.973138,0.959741,2,7,0,157.507,38.4282,112.583,73.1113
-157.359,0.960843,0.959741,1,3,0,157.608,41.245,153.422,73.1113
-158.296,0.853313,0.959741,1,3,0,158.371,44.6379,62.742,73.1113
-157.243,0.986028,0.959741,1,3,0,158.376,40.0092,59.9336,73.1113
-157.347,0.988538,0.959741,2,3,0,157.35,38.1784,91.5731,73.1113
-159.279,0.555878,0.959741,1,3,0,160.899,46.8148,121.941,73.1113
-157.243,0.949872,0.959741,1,3,0,159.83,39.2534,131.756,73.1113
-157.446,0.959281,0.959741,1,3,0,157.474,37.654,126.548,73.1113
-157.791,0.9732,0.959741,2,3,0,157.796,36.4876,60.6243,73.1113
-159.292,0.678216,0.959741,1,1,0,159.294,33.8927,78.7035,73.1113
-157.854,1,0.959741,2,3,0,158.925,36.3232,126.99,73.1113
-157.854,0.432528,0.959741,1,3,0,163.316,36.3232,44.5844,73.1113
-157.249,0.971709,0.959741,1,3,0,158.029,40.1466,6.40575,73.1113
-157.249,1,0.959741,1,1,0,157.252,40.135,129.437,73.1113
-157.364,0.964657,0.959741,1,3,0,157.467,38.0768,38.3885,73.1113
-157.29,0.985906,0.959741,2,3,0,157.49,38.607,58.2406,73.1113
-158.383,0.718458,0.959741,1,3,0,159.231,44.857,84.1022,73.1113
-157.805,1,0.959741,2,3,0,158.286,43.2158,54.6619,73.1113
-158.827,0.816663,0.959741,1,1,0,158.827,45.8822,53.9969,73.1113
-158.799,1,0.959741,1,1,0,159.127,45.8219,103.702,73.1113
-158.729,1,0.959741,1,1,0,159.065,45.6681,118.923,73.1113
-158.604,1,0.959741,1,1,0,158.945,45.3853,83.3262,73.1113
-158.02,1,0.959741,1,1,0,158.534,43.8855,36.8134,73.1113
-158.863,0.848004,0.959741,1,1,0,158.882,45.961,72.3734,73.1113
-157.308,1,0.959741,2,3,0,158.538,38.4553,112.2,73.1113
-157.631,0.927533,0.959741,2,3,0,157.929,36.9553,52.8495,73.1113
-157.631,0.821581,0.959741,1,1,0,158.222,36.9553,34.0272,73.1113
-157.631,0.925136,0.959741,1,1,0,157.905,36.9553,53.6423,73.1113
-157.564,0.903172,0.959741,1,3,0,158.569,42.3112,46.1637,73.1113
-157.47,1,0.959741,1,1,0,157.572,41.8808,117.826,73.1113
-157.247,0.986016,0.959741,1,3,0,157.578,39.1769,103.197,73.1113
-157.348,0.988393,0.959741,2,3,0,157.348,41.1666,54.4677,73.1113
-158.621,0.700879,0.959741,1,3,0,159.571,34.8289,57.0645,73.1113
-158.104,1,0.959741,1,1,0,158.604,35.757,81.7274,73.1113
-157.245,0.970046,0.959741,1,3,0,158.284,40.0651,43.5814,73.1113
-157.384,0.973634,0.959741,1,3,0,157.401,41.4047,68.906,73.1113
-157.243,0.990737,0.959741,1,3,0,157.454,39.2539,61.5289,73.1113
-157.294,0.989968,0.959741,2,3,0,157.326,38.574,83.204,73.1113
-157.285,1,0.959741,1,1,0,157.301,38.6557,34.0295,73.1113
-157.607,0.944995,0.959741,1,3,0,157.618,37.0318,44.1474,73.1113
-157.244,0.994689,0.959741,2,3,0,157.648,39.2315,109.471,73.1113
-157.266,0.981992,0.959741,2,3,0,157.368,40.4183,106.063,73.1113
-157.25,0.997271,0.959741,2,3,0,157.293,40.1682,32.4595,73.1113
-157.565,0.965241,0.959741,2,3,0,157.579,37.1796,79.5778,73.1113
-158.262,0.840594,0.959741,1,1,0,158.265,35.4446,94.4163,73.1113
-157.684,1,0.959741,1,1,0,158.141,36.7898,91.6933,73.1113
-159.036,0.708216,0.959741,1,1,0,159.036,34.2241,37.5752,73.1113
-157.238,1,0.959741,2,3,0,159.015,39.8005,83.6184,73.1113
-157.236,0.998944,0.959741,2,3,0,157.245,39.5507,47.616,73.1113
-157.763,0.885943,0.959741,1,3,0,157.907,36.5631,66.9581,73.1113
-157.873,0.972814,0.959741,1,1,0,157.975,36.2765,92.0629,73.1113
