# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = normal_model
# start_datetime = 2023-10-02 10:28:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/normal_data_1.json
# init = 2 (Default)
# random
#   seed = 4145551467 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/normal_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_k,sigma_k,Kmat_pred
# Adaptation terminated
# Step size = 0.662002
# Diagonal elements of inverse mass matrix:
# 0.000645617, 1.15071
-40.6033,0.228255,0.662002,3,7,0,41.7288,150.106,10.6005,147.368
-41.7929,0.292545,0.662002,3,7,0,42.6296,145.3,0.867217,144.86
-40.8874,0.994299,0.662002,2,7,0,42.8455,144.414,2.8021,146.91
-40.2958,0.624029,0.662002,3,7,0,41.6117,147.118,9.51266,140.828
-41.389,0.0611664,0.662002,2,3,0,45.3683,147.401,1.00272,148.321
-41.143,0.635997,0.662002,2,7,0,43.2648,151.517,2.74012,152.727
-41.8416,0.918337,0.662002,1,1,0,41.864,152.531,2.09664,147.355
-42.5807,0.802175,0.662002,2,5,0,43.131,141.52,1.86014,138.582
-42.4688,1,0.662002,1,1,0,42.8426,141.57,2.01035,143.396
-40.332,1,0.662002,2,3,0,41.9243,148.87,9.64314,141.624
-40.5147,0.89666,0.662002,2,3,0,41.6183,151.407,5.53959,147.309
-40.4984,0.9079,0.662002,2,5,0,41.0951,145.182,3.48835,153.298
-41.1462,0.963584,0.662002,1,3,0,41.751,142.252,5.27016,140.806
-40.4246,0.981277,0.662002,2,3,0,41.3553,144.126,6.61061,146.723
-41.3062,0.87859,0.662002,2,3,0,41.5114,141.435,7.55774,150.619
-40.1351,0.989529,0.662002,2,3,0,41.2396,145.585,6.7031,126.578
-40.1085,0.945837,0.662002,2,5,0,40.6038,148.098,8.30544,143.659
-41.1262,0.572607,0.662002,2,3,0,41.7186,152.708,4.52858,154.537
-43.0974,0.689449,0.662002,2,7,0,44.6421,152.672,0.656649,152.428
-40.2155,1,0.662002,3,7,0,41.9158,145.915,8.35941,139.29
-40.3373,0.900655,0.662002,2,7,0,40.4576,146.903,3.14246,151.42
-40.5331,0.981894,0.662002,2,3,0,40.7224,145.738,2.93805,150.231
-40.0997,0.999679,0.662002,2,3,0,40.7469,148.808,4.64891,142.502
-40.0997,0.381082,0.662002,2,3,0,42.8796,148.808,4.64891,145.343
-40.7546,0.811008,0.662002,2,5,0,41.9071,144.145,3.56528,141.548
-40.213,0.927142,0.662002,2,3,0,40.8723,145.6,7.97929,149.738
-41.0138,0.655749,0.662002,2,3,0,41.4936,143.536,3.36023,141.658
