# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = BS7910_us_model
# start_datetime = 2023-10-03 02:26:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_data_1.json
# init = 2 (Default)
# random
#   seed = 4203047700 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 1.039
# Diagonal elements of inverse mass matrix:
# 0.00626861
-158.486,0.811792,1.039,1,1,0,158.557,35.0471,44.7909,71.2
-158.093,1,1.039,1,1,0,158.55,35.7797,79.5932,71.2
-158.856,0.788639,1.039,1,1,0,158.999,34.4747,103.962,71.2
-157.616,1,1.039,2,3,0,158.491,37.0028,56.8713,71.2
-157.419,1,1.039,2,3,0,157.582,37.7805,120.338,71.2
-157.405,1,1.039,1,1,0,157.459,37.8498,111.107,71.2
-157.977,0.729903,1.039,2,3,0,159.31,36.0315,31.1045,71.2
-157.719,1,1.039,1,1,0,157.995,36.6877,59.6711,71.2
-157.759,0.818698,1.039,2,3,0,159.027,43.0585,62.059,71.2
-157.73,1,1.039,1,1,0,157.868,42.9596,20.0524,71.2
-159.964,0.695728,1.039,1,3,0,159.995,48.0873,143.486,71.2
-159.909,1,1.039,1,1,0,160.554,47.9906,130.6,71.2
-158.142,1,1.039,1,1,0,159.514,44.2287,60.344,71.2
-158.324,0.958366,1.039,1,1,0,158.501,44.7092,116.47,71.2
-157.236,1,1.039,2,3,0,158.284,39.596,55.9511,71.2
-157.236,0.997018,1.039,2,3,0,157.253,39.6034,32.8851,71.2
-157.274,0.89605,1.039,2,3,0,157.883,40.5149,119.919,71.2
-157.709,0.880662,1.039,1,3,0,157.939,36.7171,131.365,71.2
-157.375,1,1.039,1,1,0,157.618,38.0119,47.7563,71.2
-157.237,0.994306,1.039,2,3,0,157.41,39.4928,8.48513,71.2
-157.311,0.9799,1.039,1,3,0,157.336,40.8835,34.2114,71.2
-157.505,0.984084,1.039,2,3,0,157.505,42.0485,92.1152,71.2
-157.258,0.985426,1.039,2,3,0,157.611,40.2966,17.0337,71.2
-157.259,0.8852,1.039,2,3,0,157.986,38.9658,-16.0806,71.2
-157.652,0.888982,1.039,1,3,0,157.861,42.668,74.3613,71.2
-158.147,0.888019,1.039,1,1,0,158.173,44.2447,79.0453,71.2
-157.243,0.976794,1.039,1,3,0,158.211,39.2656,23.1596,71.2
-157.243,0.755923,1.039,1,3,0,158.207,39.2656,62.7624,71.2
-157.498,0.930055,1.039,1,3,0,157.604,42.0181,105.763,71.2
-157.237,0.99553,1.039,1,3,0,157.506,39.4762,87.7917,71.2
-157.575,0.920435,1.039,1,3,0,157.621,37.1437,53.724,71.2
-157.359,1,1.039,1,1,0,157.522,38.1024,110.188,71.2
-157.292,0.982822,1.039,1,3,0,157.492,40.7061,42.8277,71.2
-157.243,1,1.039,2,3,0,157.281,39.2689,84.2694,71.2
-157.721,0.926491,1.039,2,3,0,157.799,42.924,33.2091,71.2
-157.271,0.971739,1.039,1,3,0,157.864,38.8044,116.848,71.2
-157.252,1,1.039,1,1,0,157.267,39.079,29.2491,71.2
-158.022,0.806649,1.039,1,3,0,158.335,43.8915,54.5998,71.2
-157.649,1,1.039,1,1,0,157.97,42.6564,78.5769,71.2
-157.291,0.999849,1.039,1,3,0,157.565,40.7018,123.94,71.2
-157.306,0.736319,1.039,2,3,0,159.451,40.8361,83.3593,71.2
-157.262,1,1.039,2,3,0,157.296,40.3654,116.389,71.2
-157.268,0.915897,1.039,2,3,0,157.794,38.8469,74.8733,71.2
-157.245,1,1.039,2,3,0,157.261,39.2234,35.9246,71.2
-161.236,0.395317,1.039,1,3,0,162.601,50.1739,13.7133,71.2
-158.485,1,1.039,1,1,0,160.627,45.1057,131.481,71.2
-158.485,0.596602,1.039,1,3,0,161.369,45.1057,126.35,71.2
-158.842,0.754779,1.039,1,3,0,161.436,34.495,82.1452,71.2
-158.429,1,1.039,1,1,0,158.997,35.1451,120.273,71.2
