# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Kmat_model
# start_datetime = 2023-10-03 03:36:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Kmat_data_1.json
# init = 2 (Default)
# random
#   seed = 4207215578 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Kmat_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_k,sigma_k,Kmat_pred
# Adaptation terminated
# Step size = 0.562287
# Diagonal elements of inverse mass matrix:
# 0.00383798, 0.285309
-19.0167,0.864911,0.562287,2,3,0,19.1448,153.606,10.5194,168.626
-19.7994,0.789564,0.562287,3,7,0,20.9499,147.258,33.4284,157.932
-19.6394,0.915218,0.562287,2,7,0,20.4347,153.136,31.8743,146.703
-17.6803,1,0.562287,3,7,0,19.4512,145.521,9.07945,146.892
-19.4021,0.834751,0.562287,2,5,0,20.0803,144.203,29.4814,170.088
-18.8869,1,0.562287,2,3,0,19.5307,141.67,24.4421,165.261
-19.4681,0.808431,0.562287,1,3,0,22.3739,130.013,15.4854,147.09
-18.1223,0.993083,0.562287,3,7,0,19.863,147.287,18.2701,163.813
-19.5995,0.940836,0.562287,2,3,0,19.6069,159.202,14.7295,141.418
-19.2791,0.99071,0.562287,3,7,0,20.1664,159.79,22.3883,134.395
-19.06,0.887887,0.562287,2,7,0,21.8688,132.452,12.7947,145.87
-18.1411,0.992409,0.562287,2,7,0,19.1538,146.883,18.539,129.504
-20.8862,0.817296,0.562287,3,7,0,21.8506,127.144,33.9851,155.37
-20.9279,0.964253,0.562287,2,3,0,21.6286,128.891,35.9856,165.575
-22.1463,0.969496,0.562287,2,3,0,22.3242,118.566,18.6629,146.497
-21.8874,1,0.562287,1,1,0,22.2719,118.796,19.7997,80.3099
-17.8333,0.958161,0.562287,2,7,0,23.752,147.02,15.1305,127.081
-19.3961,0.931729,0.562287,2,3,0,19.5696,155.714,28.6535,191.33
-18.6837,0.937059,0.562287,2,7,0,20.0047,144.371,23.3396,144.53
-17.7466,0.87713,0.562287,3,7,0,21.0892,139.876,10.9799,134.602
-17.5638,1,0.562287,2,3,0,17.7455,142.596,11.3724,126.279
-17.8854,0.968844,0.562287,2,3,0,17.9303,138.912,10.3056,138.909
-17.541,0.985024,0.562287,2,3,0,18.0216,143.801,10.3113,139.397
-18.8027,0.831002,0.562287,2,3,0,18.9666,133.701,12.2106,134.764
-17.5892,1,0.562287,2,3,0,18.6582,142.784,12.2055,142.709
-17.8327,0.975556,0.562287,2,3,0,17.9052,139.569,9.64883,127.168
-17.9197,0.989309,0.562287,2,7,0,18.2751,144.858,16.562,155.439
-18.1054,0.995662,0.562287,2,3,0,18.2142,148.998,17.4018,141.159
-18.2915,0.99788,0.562287,2,3,0,18.3081,150.807,18.4594,147.324
-19.2305,0.97742,0.562287,2,7,0,20.1145,136.969,6.56014,133.481
-18.7249,1,0.562287,2,3,0,19.3091,138.152,6.82182,136.059
-18.2977,1,0.562287,2,7,0,18.9165,151.62,17.6998,118.168
-18.3885,0.998577,0.562287,1,1,0,18.3954,152.059,18.6083,161.87
-18.5384,0.990036,0.562287,2,3,0,18.5867,151.254,21.1473,143.02
-18.196,0.89857,0.562287,1,3,0,20.8421,139.706,17.5052,153.625
