a_opt,u_opt,Kmat_meas
repair,0.020999999534338714,135.673
repair,0.021999999515712264,128.31
repair,0.021999999515712264,125.601
repair,0.020999999534338714,131.191
repair_reduce,0.04600000174343585,88.1263
no_action,0.0,168.811
repair,0.021999999515712264,126.758
repair,0.019999999552965164,139.478
repair_reduce,0.055000001341104506,73.1984
no_action,0.0,174.882
no_action,0.009,143.547
no_action,0.0,153.222
no_action,0.0,165.889
no_action,0.0,187.225
no_action,0.0,165.997
repair,0.021999999515712264,129.222
no_action,0.0,180.028
no_action,0.0,205.553
reduce_operation,0.02500000037252903,114.836
no_action,0.002,149.143
repair,0.020999999534338714,130.466
repair,0.020999999534338714,130.031
no_action,0.0,154.776
no_action,0.005,145.84
repair,0.020999999534338714,134.355
repair,0.021999999515712264,126.399
repair,0.020999999534338714,133.695
repair,0.020999999534338714,135.822
no_action,0.0,159.023
reduce_operation,0.03600000010617077,95.299
repair_reduce,0.12099999839067459,55.8669
no_action,0.0,181.921
repair,0.020999999534338714,138.635
repair,0.020999999534338714,136.671
no_action,0.001,150.647
no_action,0.0,160.665
no_action,0.0,157.469
repair_reduce,0.04600000174343585,91.5713
no_action,0.0,180.913
no_action,0.0,175.331
repair,0.02299999949708581,121.452
reduce_operation,0.02500000037252903,105.841
no_action,0.0,156.393
no_action,0.0,192.272
repair,0.02299999949708581,124.055
repair,0.023999999478459356,118.889
no_action,0.0,157.334
no_action,0.0,156.45
no_action,0.0,157.541
no_action,0.0,158.358
no_action,0.0,158.448
no_action,0.015,141.326
no_action,0.0,154.291
repair,0.021999999515712264,128.084
no_action,0.0,155.56
no_action,0.004,146.998
no_action,0.0,174.009
repair,0.020999999534338714,137.654
no_action,0.0,165.557
no_action,0.0,164.59
repair,0.021999999515712264,126.402
repair,0.020999999534338714,137.329
repair,0.02299999949708581,124.693
no_action,0.0,195.711
repair,0.023999999478459356,119.768
repair_reduce,0.04600000174343585,87.1496
no_action,0.003,147.469
no_action,0.019,140.39
repair,0.024999999459832906,117.526
repair,0.023999999478459356,120.918
no_action,0.0,178.013
no_action,0.0,159.931
no_action,0.008,143.93
no_action,0.0,162.024
repair,0.020999999534338714,133.593
no_action,0.0,157.651
repair,0.020999999534338714,130.252
no_action,0.0,206.351
reduce_operation,0.02500000037252903,111.673
reduce_operation,0.026000000348314643,101.545
no_action,0.0,155.461
repair,0.02299999949708581,123.693
no_action,0.0,175.137
repair_reduce,0.04500000178813934,92.4403
no_action,0.014,141.618
repair,0.020999999534338714,131.342
no_action,0.0,163.704
no_action,0.013,142.148
repair,0.021999999515712264,126.624
repair,0.02299999949708581,123.458
repair,0.020999999534338714,138.408
no_action,0.003,148.46
no_action,0.009,143.822
no_action,0.0,156.501
no_action,0.01,143.182
repair,0.020999999534338714,135.322
no_action,0.001,150.934
repair,0.021999999515712264,129.339
repair,0.023999999478459356,118.791
repair_reduce,0.05400000138580799,73.7478
no_action,0.0,255.588
no_action,0.0,191.369
no_action,0.0,156.529
repair,0.020999999534338714,131.787
no_action,0.0,161.001
repair,0.023999999478459356,119.7
no_action,0.0,164.814
repair,0.021999999515712264,126.318
no_action,0.0,153.621
repair,0.021999999515712264,125.409
no_action,0.0,184.154
no_action,0.0,193.708
no_action,0.008,144.352
repair,0.020999999534338714,133.423
no_action,0.005,145.77
no_action,0.012,142.353
no_action,0.004,146.661
repair,0.020999999534338714,131.276
reduce_operation,0.02500000037252903,101.993
repair,0.024999999459832906,117.282
no_action,0.004,146.427
no_action,0.002,149.487
reduce_operation,0.03500000013038516,95.5721
no_action,0.0,162.836
no_action,0.0,153.865
repair_reduce,0.04600000174343585,86.9761
no_action,0.005,146.317
repair,0.020999999534338714,137.43
no_action,0.0,179.176
repair,0.020999999534338714,132.188
no_action,0.0,165.383
repair,0.020999999534338714,133.656
repair,0.020999999534338714,138.019
no_action,0.0,200.805
repair,0.020999999534338714,135.28
no_action,0.0,232.21
no_action,0.007,144.869
no_action,0.011,142.731
no_action,0.003,147.442
no_action,0.0,179.833
no_action,0.0,154.477
no_action,0.01,143.225
repair,0.021999999515712264,128.584
no_action,0.001,150.133
no_action,0.0,160.383
reduce_operation,0.02500000037252903,105.36
repair,0.020999999534338714,132.434
no_action,0.006,145.512
no_action,0.002,148.821
repair,0.02299999949708581,123.447
no_action,0.0,177.309
no_action,0.0,159.961
no_action,0.001,151.206
repair,0.020999999534338714,138.005
no_action,0.0,169.948
no_action,0.0,164.161
repair,0.023999999478459356,120.355
repair,0.023999999478459356,121.065
reduce_operation,0.02500000037252903,112.907
no_action,0.0,153.189
no_action,0.002,148.981
no_action,0.0,157.201
no_action,0.0,153.992
no_action,0.0,200.638
repair,0.020999999534338714,131.389
repair,0.021999999515712264,128.066
no_action,0.002,149.318
no_action,0.0,155.924
repair,0.020999999534338714,138.592
repair,0.020999999534338714,138.129
no_action,0.002,149.814
repair,0.020999999534338714,130.136
repair,0.020999999534338714,134.78
no_action,0.0,159.127
no_action,0.001,151.881
repair,0.024999999459832906,116.514
repair,0.020999999534338714,137.482
no_action,0.003,148.13
no_action,0.0,165.812
no_action,0.008,144.395
no_action,0.0,153.778
no_action,0.004,147.206
no_action,0.003,147.861
no_action,0.011,142.891
no_action,0.002,149.889
no_action,0.007,144.624
reduce_operation,0.02500000037252903,105.208
no_action,0.001,152.178
